"タブ名","第1層イニシャル","第1層","第1層説明","編集用シート","第2層","第2層説明","第2層メモ","第3層","UID","第4層","メモ","H28対応項目","H28の記述","査読への返答","A","B","C","D","E","F","G","H","I","情報チーム"
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","感染症","JkxnuWE","黄疸","","E-02-03-na-07","","","","","技能案件","","別表に感染症を作成して移すか、臓器横断的技能に移す","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","感染症","JkxnuWI","発疹","","E-02-03-na-08","","","","","132で扱う","","別表に感染症を作成して移すか、臓器横断的技能に移す","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","感染症","JkxnuWM","リンパ節腫脹","","E-02-03-na-09","","","","","技能案件","","別表に感染症を作成して移すか、臓器横断的技能に移す","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","感染症","JkxnuWQ","浮腫","","E-02-03-na-10","","","","","技能案件","","別表に感染症を作成して移すか、臓器横断的技能に移す","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","感染症","JkxnuWU","胸水","","E-02-03-na-11","","","","","142か147で扱う","","削除（呼吸器固有の症状）","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","感染症","JkxnuWY","胸痛・胸部圧迫感","","E-02-03-na-12","","","","","技能案件","","削除（呼吸器固有の症状）","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","感染症","JkxnuWc","呼吸困難・息切れ","","E-02-03-na-13","","","","","技能案件","","別表に感染症を作成して移すか、臓器横断的技能に移す","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","感染症","JkxnuWg","咳・痰","","E-02-03-na-14","","","","","技能案件","","別表に感染症を作成して移すか、臓器横断的技能に移す","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","感染症","JkxnuWk","血痰・喀血","","E-02-03-na-15","","","","","技能案件","","削除（呼吸器固有の症状）","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","感染症","JkxnuWo","頭痛・頭重感","","E-02-03-na-16","","","","","技能案件","","別表に感染症を作成して移すか、臓器横断的技能に移す","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","感染症","JkxnuWs","腹痛","","E-02-03-na-17","","","","","技能案件","","別表に感染症を作成して移すか、臓器横断的技能に移す","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","感染症","JkxnuWw","悪心・嘔吐","編集あり","E-02-03-na-18","","","","","技能案件","","別表に感染症を作成して移すか、臓器横断的技能に移す","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","感染症","JkxnuW0","便秘・下痢・血便","","E-02-03-na-19","","","","","技能案件","","削除（消化器固有の症状）","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","感染症","JkxnuW4","吐血・下血","","E-02-03-na-20","","","","","152で扱う","","削除（消化器固有の症状）","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","感染症","JkxnuW8","血尿・タンパク尿","","E-02-03-na-21","","","","","血尿は技能、タンパク尿は157？","","削除（腎泌尿器固有の症候）","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","感染症","JkxnuXA","関節痛・関節腫脹","編集あり","E-02-03-na-22","","","","","技能案件","","別表に感染症を作成して移すか、臓器横断的技能に移す","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","感染症","JkxnuXE","腰背部痛","","E-02-03-na-23","","","","","技能案件","","別表に感染症を作成して移すか、臓器横断的技能に移す","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","感染症","JkxnuXI","咽頭痛","新設","","","","","","187で扱う","","別表に感染症を作成して移すか、臓器横断的技能に移す","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuXM","腫瘍の定義とその特性について、ゲノム異常や分子機構とともに説明できる","編集あり　講義で現状でも教えられている内容です(校正者)","E-03-01-na-01","","","","","","","","","","114に含まれると思います","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuXQ","我が国及び世界における各腫瘍の頻度などについて説明できる","新設,編集あり(校正者)","","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuXU","腫瘍性疾患発症の遺伝的素因・基礎疾患・感染症・環境生活習慣などのリスク因子や、腫瘍の予防・健診について説明できる","新設,編集あり(校正者)","","","","","","","","","","","114とやや被ると思います","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuXY","腫瘍マーカー、バイオマーカー、がん遺伝子パネル検査など腫瘍に特化した検査とその所見を説明できる","編集あり,編集あり(校正者)","E-03-02-na-01","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuXc","腫瘍の内視鏡検査・画像検査（単純X線、CT、MRI、PET・核医学、超音波など）とその診断を説明できる","編集あり,編集あり(校正者)","E-03-02-na-02","","","","","","単純X線は単純エックス線と記載","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuXg","腫瘍の生検・細胞診や病理検査とその所見を説明できる","編集あり,編集あり(校正者)","E-03-02-na-03","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuXk","腫瘍のTNM分類、ステージを説明できる","編集あり,編集あり　グレードを削除(校正者)","E-03-01-na-03","","","","","115と重複","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuXo","発熱・食欲低下・体重減少・貧血・リンパ節腫脹・サルコペニアを含むがん患者の症候について説明できる","新設, 症候をまとめるかセルに入れるか統一した方が良いと思います。（KY）→まとめました。サルコペニアを加えました。悪液質は他を包含するので加えませんでした。(校正者),まとめました。サルコペニアを加えました。悪液質は他を包含するので加えませんでした。(校正者)","","","サルコペニアは加齢に伴う生理変化であり、がんに伴う病的変化では用いない方がよいのでは？","","","","","削除∵癌固有の問題ではないので、それぞれの項で横断的に考えるべき。担癌患者がうつ病を発症して食欲低下を来すことはむしろ多い。","","","腫瘍に限定しなくていい気がします","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuXs","急性白血病、慢性骨髄性白血病、骨髄異形成症候群、成人T細胞白血病、真性赤血球増加症、本態性血小板血症、骨髄線維症、悪性リンパ腫、多発性骨髄腫について説明できる","～について説明できる」と記載, 誤字、真正→真性では？（KY）,編集あり(校正者)","E-03-05-na-01","","","","","何を説明できるかが具体的なほうがよい。「〜の症状・症候、診断、治療を説明できる」","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuXw","膠芽腫、髄膜腫、神経鞘腫などの脳腫瘍、転移性脳腫瘍について説明できる","～について説明できる」と記載,頻度の高い腫瘍追加(校正者)","E-03-05-na-02","","","","","何を説明できるかが具体的なほうがよい。「〜の症状・症候、診断、治療を説明できる」","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuX0","基底細胞癌、有棘細胞癌、悪性黒色腫、リンパ腫、血管肉腫、乳房外パジェット病などについて説明できる","～について説明できる」と記載","E-03-05-na-03","","","","","何を説明できるかが具体的なほうがよい。「〜の症状・症候、診断、治療を説明できる」","乳房外パジェット病は乳房外Paget病と記載","血管肉腫、乳房外パジェット病は専門的すぎるので割愛","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuX4","骨肉腫、軟骨肉腫、ユーイング肉腫などの骨軟部腫瘍と転移性脊椎腫瘍について説明できる","～について説明できる」と記載,腫瘍追加(校正者)","E-03-05-na-04","","","","","何を説明できるかが具体的なほうがよい。「〜の症状・症候、診断、治療を説明できる」","ユーイング肉腫はEwing肉腫と記載","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuX8","循環器系：粘液腫について説明できる","～について説明できる」と記載","E-03-05-na-05","","","","","何を説明できるかが具体的なほうがよい。「粘液腫の症状・症候、診断、治療を説明できる」","","専門的過ぎるので割愛","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuYA","肺癌、胸膜中皮腫、転移性肺腫瘍、縦隔腫瘍について説明できる","～について説明できる」と記載,癌種は色々ですがこのままにしました。(校正者)","E-03-05-na-06","","","","","何を説明できるかが具体的なほうがよい。「〜の症状・症候、診断、治療を説明できる」","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuYE","食道癌、胃癌、大腸ポリープ、大腸癌、胆嚢・胆管癌、原発性肝癌、膵内分泌腫瘍、嚢胞性膵腫瘍、膵癌について説明できる","～について説明できる」と記載","E-03-05-na-07","","","","","何を説明できるかが具体的なほうがよい。「〜の症状・症候、診断、治療を説明できる」","","","","","膵神経内分泌腫瘍の方がいいと思います","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuYI","腎癌、腎盂尿管癌・膀胱癌について説明できる","～について説明できる」と記載,名称を変えたのみで以前と同様です。(校正者)","E-03-05-na-08","","","","","何を説明できるかが具体的なほうがよい。「〜の症状・症候、診断、治療を説明できる」","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuYM","前立腺癌、精巣腫瘍、子宮頸癌、子宮体癌（子宮内膜癌）、卵巣腫瘍、絨毛性疾患（胞状奇胎、絨毛癌）について説明できる","～について説明できる」と記載","E-03-05-na-09","","","","","何を説明できるかが具体的なほうがよい。「〜の症状・症候、診断、治療を説明できる」","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuYQ","原発性乳癌、線維腺腫、乳腺症について説明できる","～について説明できる」と記載,癌以外の疾患も必要との意見でした。(校正者)","E-03-05-na-10","","","","","何を説明できるかが具体的なほうがよい。「〜の症状・症候、診断、治療を説明できる」","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuYU","下垂体腫瘍、甲状腺腫瘍（腺腫様甲状腺腫、甲状腺癌）、褐色細胞腫、多発性内分泌腫瘍症について説明できる","～について説明できる」と記載,腫瘍追加(校正者)","E-03-05-na-11","","","","","何を説明できるかが具体的なほうがよい。「〜の症状・症候、診断、治療を説明できる」","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuYc","頭頚部癌（舌癌、咽頭癌、喉頭癌など）について説明できる","～について説明できる」と記載,編集あり(校正者)","E-03-05-na-13","","","","","何を説明できるかが具体的なほうがよい。「〜の症状・症候、診断、治療を説明できる」","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuYg","小児腫瘍について説明できる","～について説明できる」と記載","E-03-05-na-14,E-03-05-na-12","","","","","何を説明できるかが具体的なほうがよい。「〜の種類、症状・症候、診断、治療を説明できる」","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuYk","原発不明癌、転移性腫瘍、重複癌、AYA世代の腫瘍、希少がんについて説明できる","新設,重要と考えられる追加記載をしました。(校正者)","E-03-05-na-05","","","","","何を説明できるかが具体的なほうがよい。「〜の種類、症状・症候、診断、治療を説明できる」","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuYo","遺伝性非ポリポーシス性大腸癌（リンチ症候群）、家族性大腸腺腫症、遺伝性乳がん卵巣がん症候群などの遺伝性腫瘍について説明できる","重要と考えられる例を挙げました。(校正者)","E-03-04-na-02","","コアとして追加すべきか？
 267に「遺伝性腫瘍」として追記してはどうか","","","何を説明できるかが具体的なほうがよい。「〜について、症状・症候、診断、治療を説明できる」","リンチ症候群はLynch症候群と記載","遺伝性非ポリポーシス性大腸癌（リンチ症候群）は専門的過ぎるので割愛","","","248と重なるかもしれません。リンチ症候群はMSI検査で重要になるのでどこかでは触れておいてもいいかと思いました","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuYs","腫瘍の診療における生命倫理を説明できる","他で包含される部分もありますが残しました。(校正者)","E-03-04-na-02","","","","","社会59にも重複すると思いますが、がん診療特融の生命倫理アプローチというものがあるなら残す、でよい（そういうものはありますか？）","","生命倫理は腫瘍に特化した問題ではないので、別の総論に統合し、これは割愛","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuYw","オンコロジック・エマージェンシー（脊髄圧迫、腫瘍崩壊、上大静脈症候群、代謝障害、治療の有害事象など）について説明できる","新設,追加しました。(校正者)","","","","","","何を説明できるかが具体的なほうがよい。「〜の起こりやすいがん、病態生理、症状・症候と対応を説明できる」","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuY0","診療ガイドライン・集学的治療を説明できる","新設,追加しました。(校正者)","","","","","","","","","","","ガイドラインについては総合22にでます。集学的治療は疾患ごとに異なるので不要ではないでしょうか","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuY4","主な腫瘍の手術療法を説明できる。放射線療法・インターベンショナル・ラディオロジー(IVR)を説明できる","編集あり,編集あり(校正者)","E-03-03-na-03","","","","","手術療法と、放射線療法・IVRは項目としてわけては。「主な腫瘍の手術療法を説明できる。」後者は332と統合して「主な腫瘍の放射線療法・インターベンショナル・ラディオロジー(IVR)の生物学的原理と、人体への急性影響と晩発影響を説明できる。」","","","","","治療法は腫瘍によって異なるので総論は不要ではないでしょうか","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","全身に及ぶ生理的変化、病態、診断、治療","","","腫瘍","JkxnuY8","腫瘍の薬物療法（細胞障害性抗癌薬、分子標的治療薬）、造血幹細胞移植、がん免疫に関する治療法を説明できる","編集あり,チェックポイント阻害剤以外も包含(校正者)","E-03-03-na-04","","","","","272にあわせるなら「主な腫瘍の〜」","","","","","","",""
