診療科,H28対応項目,メモ,H28の記載,項目,検査項目,UID,Unnamed: 3,修正提案(20220302),査読コメント(20220302),チームからの返信（原案どおりなら１、修正案に賛成なら２）,チームからのコメント（あれば）,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,臓器,分類,項目名,H28表記,項目名(202004113)作業用,項目名(20220413),"座長・副座長返答(1.医学教育課の意見を反映,2.原案ママ,3.その他)(20220411)",座長・副座長コメント(20220411),チームからの修正提案(20220317),チームからのコメント(20220317),医学教育課修正案(20220317),医学教育課からのコメント(20220317),項目名(20220302査読直前),削除項目,追加項目,査読への返答,A,B,C,D,E,F,G,H,I,カテゴリ,サブカテゴリ,疾患,修正案(20220318),コメント(20220318),重要(20220318),重複(計算列),重複のため削除する項目に●(20220408),重要度分類(スリム化チーム作業用)(20220330),診断,治療,教育,予防,作成時(20220316コメント),修正案(20220316),パフォーマンス,基本的臨床手技,目標レベル,診察項目,医学教育課修正案(20220327),医学教育課からのコメント(20220327),Unnamed: 7,検査項目(20220302査読直前),Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,主要症候,検討すべき鑑別疾患,錦織
,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06",,,[別表]疾患,,JlvnljY,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚感染症,なし,丹毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06",,,[別表]疾患,,Jlvnljg,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚感染症,なし,ブドウ球菌性熱傷様皮膚症候群 <SSSS>,,<SSSS>の表記を追加（岡崎／小松）,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06",,,[別表]疾患,,Jlvnljk,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚感染症,なし,蜂窩織炎,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06",,,[別表]疾患,,Jlvnljs,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚感染症,なし,壊死性筋膜炎,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06",,,[別表]疾患,,Jlvnljw,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚感染症,なし,皮膚真菌症（表在性・深在性）,,,,,,,,,,,分割すべきか?,,,,,,,,,,,,,,,,,
,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06",,,[別表]疾患,,Jlvnlj4,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚感染症,なし,皮膚抗酸菌症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06",,,[別表]疾患,,Jlvnlj8,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚感染症,なし,疥癬,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06",,,[別表]疾患,,JlvnlkE,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚感染症,皮膚ウィルス感染症,単純ヘルペス,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06",,,[別表]疾患,,JlvnlkM,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚感染症,皮膚ウィルス感染症,帯状疱疹,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06",,,[別表]疾患,,JlvnlkQ,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚感染症,皮膚ウィルス感染症,尋常性疣贅,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06",,,[別表]疾患,,JlvnlkY,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚感染症,皮膚ウィルス感染症,伝染性軟属腫,,,,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06",,,[別表]疾患,,Jlvnlkc,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚感染症,皮膚ウィルス感染症,麻疹,,,●,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06",,,[別表]疾患,,Jlvnlkk,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚感染症,皮膚ウィルス感染症,風疹,,,●,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06",,,[別表]疾患,,Jlvnlko,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚感染症,皮膚ウィルス感染症,水痘,,,●,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06",,,[別表]疾患,,Jlvnlkw,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚感染症,皮膚ウィルス感染症,伝染性紅斑,,,,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06",,,[別表]疾患,,Jlvnlk0,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚感染症,皮膚ウィルス感染症,手足口病,,,,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06",,,[別表]疾患,,Jlvnlk8,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚感染症,なし,後天性免疫不全症候群 <AIDS>に伴う皮膚症状（梅毒・難治性ヘルペス・伝染性軟属腫・Kaposi肉腫など）,,,,,,,,,,,分割すべきか?,,,,,,,,,,,,,,,,,
,D-03-04-08-01,,,[別表]疾患,,JlvnllE,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,母斑性皮膚疾患,なし,母斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-03-04-08-01,,,[別表]疾患,,JlvnllI,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,母斑性皮膚疾患,母斑症,神経線維腫症1型,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-03-04-08-01,,,[別表]疾患,,JlvnllQ,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,母斑性皮膚疾患,母斑症,結節性硬化症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-09-01, D-03-04-09-02",,,[別表]疾患,,JlvnllU,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,付属器疾患,毛の疾患,円形脱毛症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-09-01, D-03-04-09-02",,,[別表]疾患,,Jlvnllc,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,付属器疾患,毛の疾患,男性型脱毛症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-09-01, D-03-04-09-02",,,[別表]疾患,,Jlvnllg,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,付属器疾患,なし,爪の疾患（匙状爪・嵌入爪）,,,,,,,,,,,分割すべきか?,,,,,,,,,,,,,,,,,
,"D-03-04-09-01, D-03-04-09-02",,,[別表]疾患,,Jlvnllo,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,付属器疾患,汗腺の疾患,汗疹,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-09-01, D-03-04-09-02",,,[別表]疾患,,Jlvnlls,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,付属器疾患,汗腺の疾患,多汗症,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-09-01, D-03-04-09-02",,,[別表]疾患,,Jlvnll0,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,付属器疾患,汗腺の疾患,無汗症,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,Jlvnll4,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,その他,なし,尋常性痤瘡,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,JlvnlmA,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,その他,なし,酒皶様皮膚炎,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,JlvnlmI,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,その他,なし,褥瘡,,,●,,,●,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,JlvnlmM,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,その他,なし,ケロイド,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,JlvnlmU,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,その他,なし,粉瘤,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,JlvnlmY,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,その他,なし,尋常性白斑,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,Jlvnlmg,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,その他,なし,壊疽性膿皮症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,Jlvnlmk,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,その他,なし,痒疹,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,Jlvnlms,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,その他,なし,色素性乾皮症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,Jlvnlmw,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,腫瘍性疾患,なし,※腫瘍の項目を参照,,,,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,Jlvnlm4,,,,,,,,,,,,,,,,,皮膚系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,なし,なし,凍傷・電撃傷,,,,,,●,,,,,分割すべきか?,,,,,,,,,,,,,,,,,
,D-04-04-01-01,,,[別表]疾患,,Jlvnlm8,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,なし,なし,四肢・脊椎外傷,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-02,,,[別表]疾患,,JlvnlnE,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,なし,なし,関節の脱臼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-02,,,[別表]疾患,,JlvnlnM,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,なし,なし,肘内障,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,JmpYnGs,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,なし,なし,上腕骨外側上顆炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-02,,,[別表]疾患,,JlvnlnQ,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,なし,なし,腱・靱帯・半月板損傷,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,JmpYnGo,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,なし,なし,突き指,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,JlvnlnY,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,なし,なし,関節拘縮,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,Jlvnlnc,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,なし,なし,Dupuytren拘縮,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-03,,,[別表]疾患,,Jlvnlnk,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,なし,なし,骨折,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,JmpYuec,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,なし,なし,肉離れ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-04,,,[別表]疾患,,Jlvnlno,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,なし,なし,筋損傷・挫滅症候群・コンパートメント症候群,,,,,,●,,,,,分割すべきか?,,,,,,,,,,,,,,,,,
,D-04-04-01-05,,,[別表]疾患,,Jlvnlnw,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,代謝性骨疾患,なし,骨粗鬆症,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-05,,,[別表]疾患,,Jlvnln4,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,代謝性骨疾患,なし,くる病,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-05,,,[別表]疾患,,Jlvnln8,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,代謝性骨疾患,なし,骨軟化症,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-06,,,[別表]疾患,,JlvnloE,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,なし,なし,関節炎,,,,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-06,,,[別表]疾患,,JlvnloI,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,なし,なし,腱鞘炎,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-06,,,[別表]疾患,,JlvnloQ,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,なし,なし,滑液包炎,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-06,,,[別表]疾患,,JlvnloU,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,なし,なし,腱付着部炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-07,,,[別表]疾患,,Jlvnloc,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,関節症,なし,変形性関節症,,,●,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-07,,,[別表]疾患,,Jlvnlok,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,関節症,なし,外反母趾,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-07,,,[別表]疾患,,Jlvnloo,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,関節症,なし,外反膝,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-07,,,[別表]疾患,,Jlvnlow,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,関節症,なし,内反膝,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-07,,,[別表]疾患,,Jlvnlo0,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,関節症,なし,反張膝,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-07,,,[別表]疾患,,Jlvnlo8,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,関節症,なし,神経病性関節症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-08,,,[別表]疾患,,JlvnlpA,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,絞扼性末梢神経障害,なし,胸郭出口症候群,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-08,,,[別表]疾患,,JlvnlpI,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,絞扼性末梢神経障害,なし,手根管症候群,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-08,,,[別表]疾患,,JlvnlpQ,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,絞扼性末梢神経障害,なし,肘部管症候群等,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-09,,,[別表]疾患,,JlvnlpU,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,なし,なし,脊椎症・脊髄症・神経根症（脊柱靭帯骨化症を含む）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-10,,,[別表]疾患,,Jlvnlpc,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,なし,なし,脊髄損傷,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-11,,,[別表]疾患,,Jlvnlpg,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,なし,なし,脊椎椎間板ヘルニア,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-12,,,[別表]疾患,,Jlvnlpo,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,なし,なし,脊柱管狭窄症,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-13,,,[別表]疾患,,Jlvnlps,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,なし,なし,脊椎分離・すべり症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-14,,,[別表]疾患,,Jlvnlp0,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,運動器慢性疼痛,なし,腰背部痛,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-14,,,[別表]疾患,,Jlvnlp8,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,運動器慢性疼痛,なし,頸部痛,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-14,,,[別表]疾患,,JlvnlqA,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,運動器慢性疼痛,なし,肩こり,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-01-14,,,[別表]疾患,,JlvnlqI,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,運動器慢性疼痛,なし,肩関節周囲炎,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-02-01,,,[別表]疾患,,JlvnlqM,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,感染性疾患,なし,化膿性関節炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-02-01,,,[別表]疾患,,JlvnlqU,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,感染性疾患,なし,骨髄炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-04-04-02-02,,,[別表]疾患,,JlvnlqY,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,なし,なし,椎間板炎・化膿性脊椎炎・脊椎カリエス,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,Jlvnlqg,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,先天性疾患,なし,斜頸,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,Jlvnlqk,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,先天性疾患,なし,側弯症,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,Jlvnlqs,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,先天性疾患,なし,先天性股関節脱臼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,Jlvnlqw,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,先天性疾患,なし,内反足,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,Jlvnlq4,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,先天性疾患,なし,骨形成不全症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,JlvnlrA,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,骨壊死・骨端症・軟骨の障害,なし,特発性大腿骨頭壊死症,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,JlvnlrE,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,骨壊死・骨端症・軟骨の障害,なし,Perthes病,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,JlvnlrM,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,骨壊死・骨端症・軟骨の障害,なし,Osgood-Schlatter病,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,JlvnlrQ,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,骨壊死・骨端症・軟骨の障害,なし,離断性骨軟骨炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]疾患,,JlvnlrY,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,骨壊死・骨端症・軟骨の障害,なし,膝蓋軟骨軟化症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-04-04-03-01,　D-04-04-03-02,　D-04-04-03-03",,,[別表]疾患,,Jlvnlrc,,,,,,,,,,,,,,,,,運動器（筋骨格）系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,なし,なし,腫瘍性疾患　※腫瘍の項目を参照,,,,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-01-01,D-05-04-01-02,D-05-04-01-03,,D-05-04-01-05",,,[別表]疾患,,Jlvnlrk,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,心不全,心不全,左心,,サブカテゴリをなくし、心不全（左心・右心）とまとめてはどうか（小松）,●,,,,,,,,統合すべきか?,,,,,,,,,,,,,,,,,
,"D-05-04-01-01,D-05-04-01-02,D-05-04-01-03,,D-05-04-01-05",,,[別表]疾患,,Jlvnlro,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,心不全,心不全,右心,,,●,,,,,,,,統合すべきか?,,,,,,,,,,,,,,,,,
,"D-05-04-01-01,D-05-04-01-02,D-05-04-01-03,,D-05-04-01-05",,,[別表]疾患,,Jlvnlrw,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,心不全,心不全,急性,,サブカテゴリをなくし、心不全（急性・慢性）とまとめてはどうか（小松）,●,重複あり,,,,,,,統合すべきか?,,,,,,,,,,,,,,,,,
