"番号","章番号","章","大項目番号","大項目","中項目番号","中項目","小項目番号","小項目","再掲","備考","Ａ","Ｂ","Ｃ","削除","KW計","H17","H21","H25","H30","患者調査による頻度"
"718","Ⅶ","血液","１","赤血球系疾患","Ｄ","造血不全症","①","発作性夜間ヘモグロビン尿症","","GPIアンカータンパク","1","3","2","0","5","","1","3","1","1"
"719","Ⅶ","血液","１","赤血球系疾患","Ｄ","造血不全症","②","再生不良性貧血","","Fanconi貧血","3","3","0","0","10","1","2","6","1","1"
"720","Ⅶ","血液","１","赤血球系疾患","Ｄ","造血不全症","③","赤芽球癆","","Diamond-Blackfan症候群","0","2","4","0","2","","","2","","0"
"721","Ⅶ","血液","１","赤血球系疾患","Ｄ","造血不全症","④","骨髄異形成症候群<MDS>","","後天性鉄芽球性貧血","1","5","0","0","8","2","2","4","","14"
"721.5","Ⅶ","血液","１","赤血球系疾患","Ｅ","二次性貧血","KW","二次性貧血","","","0","0","0","0","5","1","2","1","1","0"
"722","Ⅶ","血液","１","赤血球系疾患","Ｅ","二次性貧血","①","慢性疾患に伴う貧血<ACD>","","","3","0","2","0","0","","","","","0"
"723","Ⅶ","血液","１","赤血球系疾患","Ｅ","二次性貧血","②","腎性貧血、内分泌異常による貧血","831","","3","1","2","0","2","","2","","","0"
"724","Ⅶ","血液","１","赤血球系疾患","Ｆ","出血性貧血","中","出血性貧血","","","4","1","1","0","0","","","","","0"
"725","Ⅶ","血液","１","赤血球系疾患","Ｇ","メトヘモグロビン血症","中","メトヘモグロビン血症","","","1","1","4","0","0","","","","","0"
"726","Ⅶ","血液","１","赤血球系疾患","Ｈ","二次性赤血球増加症","中","二次性赤血球増加症","","エリスロポエチン産生過剰","0","1","5","0","1","","","1","","3"
"727","Ⅶ","血液","２","白血球系疾患とその他の骨髄性疾患","Ａ","無顆粒球症","①","薬剤性無顆粒球症","","","3","2","1","0","2","","1","1","","0"
"728","Ⅶ","血液","２","白血球系疾患とその他の骨髄性疾患","Ｂ","好中球機能異常症","①","慢性肉芽腫症","1375","","0","2","4","0","5","1","","4","","0"
"729","Ⅶ","血液","２","白血球系疾患とその他の骨髄性疾患","Ｂ","好中球機能異常症","②","Chédiak-Higashi症候群","1374","","0","0","5","1","0","","","","","0"
"729.5","Ⅶ","血液","２","白血球系疾患とその他の骨髄性疾患","","","KW","急性白血病","","","0","0","0","0","4","1","1","1","1","0"
"730","Ⅶ","血液","２","白血球系疾患とその他の骨髄性疾患","Ｃ","骨髄系腫瘍","①","急性骨髄性白血病","","二次性白血病<治療関連白血病>","5","1","0","0","9","","4","2","3","0"
"731","Ⅶ","血液","２","白血球系疾患とその他の骨髄性疾患","Ｃ","骨髄系腫瘍","②","慢性骨髄性白血病","","Philadelphia染色体、BCR-ABL融合遺伝子","4","2","0","0","13","1","4","5","3","12"
"732","Ⅶ","血液","２","白血球系疾患とその他の骨髄性疾患","Ｃ","骨髄系腫瘍","③","原発性骨髄線維症","","","2","2","2","0","5","1","1","2","1","0"
"733","Ⅶ","血液","２","白血球系疾患とその他の骨髄性疾患","Ｃ","骨髄系腫瘍","④","本態性血小板血症","","","0","2","4","0","3","1","1","","1","0"
"734","Ⅶ","血液","２","白血球系疾患とその他の骨髄性疾患","Ｃ","骨髄系腫瘍","⑤","真性赤血球増加症","","JAK2遺伝子変異","0","3","3","0","6","1","1","4","","3"
"735","Ⅶ","血液","２","白血球系疾患とその他の骨髄性疾患","Ｃ","骨髄系腫瘍","⑥","慢性好酸球性白血病","","好酸球増多症候群<HES>","1","2","2","1","0","","","","","0"
"736","Ⅶ","血液","２","白血球系疾患とその他の骨髄性疾患","Ｄ","類白血病反応","中","類白血病反応","","","0","3","3","0","0","","","","","0"
"737","Ⅶ","血液","３","リンパ系疾患","Ａ","急性リンパ性白血病","中","急性リンパ性白血病","","","5","1","0","0","11","3","3","2","3","5"
"738","Ⅶ","血液","３","リンパ系疾患","Ｂ","Hodgkinリンパ腫","中","Hodgkinリンパ腫","","Hodgkin細胞、Reed-Sternberg細胞","3","3","0","0","4","2","","1","1","2"
"739","Ⅶ","血液","３","リンパ系疾患","Ｃ","成熟B細胞性腫瘍","①","慢性リンパ性白血病","","","3","2","1","0","2","","","1","1","2"
"740","Ⅶ","血液","３","リンパ系疾患","Ｃ","成熟B細胞性腫瘍","②","濾胞性リンパ腫","","","1","3","1","0","4","","","4","","9"
"741","Ⅶ","血液","３","リンパ系疾患","Ｃ","成熟B細胞性腫瘍","③","びまん性大細胞型B細胞リンパ腫","","","1","3","1","0","2","","","1","1","15"
"742","Ⅶ","血液","３","リンパ系疾患","Ｃ","成熟B細胞性腫瘍","④","Burkittリンパ腫","","","0","2","3","0","0","","","","","0"
"743","Ⅶ","血液","３","リンパ系疾患","Ｃ","成熟B細胞性腫瘍","⑤","粘膜関連リンパ組織<MALT>リンパ腫","","","0","4","1","0","0","","","","","3"
"744","Ⅶ","血液","３","リンパ系疾患","Ｃ","成熟B細胞性腫瘍","⑥","hairy cell leukemia","","","0","2","3","1","0","","","","","0"
"745","Ⅶ","血液","３","リンパ系疾患","Ｃ","成熟B細胞性腫瘍","⑦","多発性骨髄腫","","Mタンパク、Bence  Jonesタンパク、続発性アミロイドーシス","3","3","0","0","18","1","4","7","6","25"
"746","Ⅶ","血液","３","リンパ系疾患","Ｃ","成熟B細胞性腫瘍","⑧","マクログロブリン血症","","Waldenstrom、過粘稠度症候群
<hyperviscosity症候群>","1","3","1","0","3","","1","2","","3"
"747","Ⅶ","血液","３","リンパ系疾患","Ｃ","成熟B細胞性腫瘍","⑨","意義不明の単クローン性免疫
グロブリン血症[monoclonal
gammopathy of undetermined","","","0","3","2","0","3","","1","1","1","1"
"748","Ⅶ","血液","３","リンパ系疾患","Ｄ","成熟T細胞・NK細胞腫瘍","①","成人T細胞白血病","","","3","2","1","0","5","2","","2","1","2"
"749","Ⅶ","血液","３","リンパ系疾患","Ｄ","成熟T細胞・NK細胞腫瘍","②","末梢T細胞性リンパ腫","","","1","3","2","0","0","","","","","1"
"750","Ⅶ","血液","３","リンパ系疾患","Ｄ","成熟T細胞・NK細胞腫瘍","③","菌状息肉症","187","","0","0","5","0","1","","","1","","2"
"751","Ⅶ","血液","３","リンパ系疾患","Ｄ","成熟T細胞・NK細胞腫瘍","④","Sézary症候群","188","","0","0","5","0","0","","","","","0"
"752","Ⅶ","血液","３","リンパ系疾患","Ｅ","組織球および樹状細胞腫瘍","①","Langerhans細胞由来腫瘍","","","0","0","5","1","0","","","","","0"
"753","Ⅶ","血液","３","リンパ系疾患","Ｆ","血球貪食症候群
<hemophagocytic syndrome>","①","血球貪食性リンパ組織球症
[Hemophagocytic lymphohistiocytosis<HLH>]","","","1","0","4","0","7","2","1","3","1","0"
"754","Ⅶ","血液","３","リンパ系疾患","Ｇ","伝染性単核｛球｝症","中","伝染性単核｛球｝症","","Epstein-Barr<EB>ウイルス感染症","4","1","1","0","16","5","3","4","4","1"
"754.5","Ⅶ","血液","４","出血性疾患と血栓傾向","","","KW","出血傾向、凝固異常、血小板減少","","","0","0","0","0","21","7","6","4","4","0"
"755","Ⅶ","血液","４","出血性疾患と血栓傾向","Ａ","血小板の異常","①","免疫性血小板減少性紫斑病
<ITP>","22","ヘリコバクター・ピロリ感染症","4","1","1","0","10","2","3","2","3","14"
"756","Ⅶ","血液","４","出血性疾患と血栓傾向","Ａ","血小板の異常","②","二次性血小板減少症","","脾機能亢進症、薬剤性","2","3","1","0","0","","","","","0"
"757","Ⅶ","血液","４","出血性疾患と血栓傾向","Ａ","血小板の異常","③","血栓性血小板減少性紫斑病
<TTP>","","ADAMTS-13","3","1","1","0","6","1","2","","3","0"
"758","Ⅶ","血液","４","出血性疾患と血栓傾向","Ａ","血小板の異常","④","溶血性尿毒症症候群<HUS>","829","Vero毒素","3","2","1","0","9","3","3","1","2","0"
"759","Ⅶ","血液","４","出血性疾患と血栓傾向","Ａ","血小板の異常","⑤","後天性血小板機能異常症","","","0","2","2","2","0","","","","","0"
"760","Ⅶ","血液","４","出血性疾患と血栓傾向","Ｂ","凝固因子の異常","①","血友病","","第Ⅷ因子、第Ⅸ因子","3","2","1","0","5","2","1","2","","2"
"761","Ⅶ","血液","４","出血性疾患と血栓傾向","Ｂ","凝固因子の異常","②","von Willebrand病","","","0","5","1","0","1","1","","","","0"
"762","Ⅶ","血液","４","出血性疾患と血栓傾向","Ｂ","凝固因子の異常","③","循環抗凝固因子による出血傾
向（後天性血友病、後天性von Willebrand病）","","","0","3","1","1","0","","","","","0"
"763","Ⅶ","血液","４","出血性疾患と血栓傾向","Ｂ","凝固因子の異常","④","播種性血管内凝固<DIC>","35を参照","","6","0","0","0","13","2","3","3","5","1"
"764","Ⅶ","血液","４","出血性疾患と血栓傾向","Ｂ","凝固因子の異常","⑤","ビタミンK欠乏症","65, 776","","2","3","1","0","8","5","","2","1","0"
"765","Ⅶ","血液","４","出血性疾患と血栓傾向","Ｃ","血管の異常による出血傾向","①","IgA血管炎<Schönlein-Henoch紫斑病>","1345","","5","1","0","0","9","2","4","2","1","5"
"766","Ⅶ","血液","４","出血性疾患と血栓傾向","Ｃ","血管の異常による出血傾向","②","単純性紫斑","","","2","2","1","0","0","","","","","0"
"767","Ⅶ","血液","４","出血性疾患と血栓傾向","Ｃ","血管の異常による出血傾向","③","老人性紫斑","","","2","2","1","0","1","","1","","","0"
"768","Ⅶ","血液","４","出血性疾患と血栓傾向","Ｃ","血管の異常による出血傾向","④","遺伝性出血性末梢血管拡張症
<Osler病>","","","0","2","3","0","1","1","","","","0"
"768.5","Ⅶ","血液","４","出血性疾患と血栓傾向","Ｄ","血栓性疾患","KW","血栓傾向","","","0","0","0","0","3","1","","2","","0"
"769","Ⅶ","血液","４","出血性疾患と血栓傾向","Ｄ","血栓性疾患","①","先天性血栓形成傾向","","プロテインC・プロテイン S・アンチトロンビン欠乏症","0","1","5","0","0","","","","","0"
"770","Ⅶ","血液","４","出血性疾患と血栓傾向","Ｄ","血栓性疾患","②","後天性血栓形成傾向","","抗リン脂質抗体症候群、血栓性
血小板減少性紫斑病<TTP>、溶血性尿毒症症候群<HUS>","0","4","2","0","0","","","","","2"
"771","Ⅶ","血液","５","その他の重要な小児領域の疾患","Ａ","小児血液疾患","①","異常ヘモグロビン症","","","0","1","4","0","0","","","","","0"
"772","Ⅶ","血液","５","その他の重要な小児領域の疾患","Ａ","小児血液疾患","②","サラセミア","","","0","3","3","0","1","","","","1","0"
"773","Ⅶ","血液","５","その他の重要な小児領域の疾患","Ａ","小児血液疾患","③","遺伝性球状赤血球症","715","","1","1","4","0","5","3","1","1","","0"
"774","Ⅶ","血液","５","その他の重要な小児領域の疾患","Ａ","小児血液疾患","④","赤血球酵素異常症","","","0","1","4","1","0","","","","","0"
"775","Ⅶ","血液","５","その他の重要な小児領域の疾患","Ａ","小児血液疾患","⑤","先天性血小板機能異常症","","血小板無力症、Bernard- Soulier症候群","0","2","3","1","0","","","","","0"
"776","Ⅶ","血液","５","その他の重要な小児領域の疾患","Ａ","小児血液疾患","⑥","ビタミンK欠乏症","65, 764","","3","1","2","0","8","5","","2","1","0"
"777","Ⅶ","血液","５","その他の重要な小児領域の疾患","Ａ","小児血液疾患","⑦","新生児出血性疾患","","","0","3","3","0","0","","","","","1"
"778","Ⅶ","血液","５","その他の重要な小児領域の疾患","Ｂ","小児造血器腫瘍","①","白血病","","","4","2","0","0","0","","","","","31"
"779","Ⅶ","血液","５","その他の重要な小児領域の疾患","Ｂ","小児造血器腫瘍","②","悪性リンパ腫","359, 465, 615,
986, 433","","2","4","0","0","14","5","4","3","2","68"
"780","Ⅷ","泌尿生殖","１","糸球体病変","Ａ","糸球体腎炎","①","急性糸球体腎炎","","","6","0","0","0","6","3","2","1","","0"
"781","Ⅷ","泌尿生殖","１","糸球体病変","Ａ","糸球体腎炎","②","急速進行性糸球体腎炎症候群","","Goodpasture症候群、ANCA関連血管炎","5","1","0","0","7","1","1","3","2","0"
"782","Ⅷ","泌尿生殖","１","糸球体病変","Ａ","糸球体腎炎","③","慢性糸球体腎炎","","IgA腎症","5","1","0","0","18","6","4","5","3","1"
"782.5","Ⅷ","泌尿生殖","１","糸球体病変","Ｂ","原発性ネフローゼ症候群","KW","ネフローゼ症候群","","","0","0","0","0","18","3","7","5","3","0"
"783","Ⅷ","泌尿生殖","１","糸球体病変","Ｂ","原発性ネフローゼ症候群","①","微小変化群","","先天性ネフローゼ症候群","5","1","0","0","6","","1","3","2","2"
"784","Ⅷ","泌尿生殖","１","糸球体病変","Ｂ","原発性ネフローゼ症候群","②","巣状分節性糸球体硬化症","","","3","3","0","0","1","","","1","","0"
"785","Ⅷ","泌尿生殖","１","糸球体病変","Ｂ","原発性ネフローゼ症候群","③","膜性腎症","","","3","3","0","0","9","2","3","3","1","4"
"786","Ⅷ","泌尿生殖","１","糸球体病変","Ｂ","原発性ネフローゼ症候群","④","膜性増殖性糸球体腎炎","","","3","3","0","0","5","2","1","2","","0"
"787","Ⅷ","泌尿生殖","１","糸球体病変","Ｃ","全身疾患に伴う腎疾患","①","糖尿病腎症","1266","","5","0","0","0","18","4","4","6","4","344"
"788","Ⅷ","泌尿生殖","１","糸球体病変","Ｃ","全身疾患に伴う腎疾患","②","アミロイド腎症","","","1","1","4","0","0","","","","","0"
"789","Ⅷ","泌尿生殖","１","糸球体病変","Ｃ","全身疾患に伴う腎疾患","③","二次性膜性腎症","","","0","1","5","0","0","","","","","0"
"790","Ⅷ","泌尿生殖","１","糸球体病変","Ｃ","全身疾患に伴う腎疾患","④","紫斑病性腎炎","","","1","0","4","0","0","","","","","0"
"791","Ⅷ","泌尿生殖","１","糸球体病変","Ｄ","膠原病に伴う腎病変","①","全身性エリテマトーデス<SLE>","1334","","2","4","0","0","28","6","3","15","4","40"
"792","Ⅷ","泌尿生殖","１","糸球体病変","Ｄ","膠原病に伴う腎病変","②","全身性強皮症","1335","","1","4","1","0","11","2","","3","6","0"
"793","Ⅷ","泌尿生殖","１","糸球体病変","Ｄ","膠原病に伴う腎病変","③","関節リウマチ","1121, 1338","","3","3","0","0","37","4","9","10","14","370"
"794","Ⅷ","泌尿生殖","１","糸球体病変","Ｄ","膠原病に伴う腎病変","④","結節性多発動脈炎","1337","","2","2","2","0","1","","","1","","3"
"795","Ⅷ","泌尿生殖","１","糸球体病変","Ｄ","膠原病に伴う腎病変","⑤","顕微鏡的多発血管炎","1341, 428","","1","3","2","0","21","","2","11","8","4"
"796","Ⅷ","泌尿生殖","１","糸球体病変","Ｄ","膠原病に伴う腎病変","⑥","多発血管炎性肉芽腫症
<Wegener肉芽腫症>","429,  1342","ANCA関連血管炎","1","4","1","0","3","","2","1","","2"
"797","Ⅷ","泌尿生殖","１","糸球体病変","Ｅ","無症候性血尿・タンパク尿症候群","①","無症候性血尿","","","3","1","1","0","1","","","","1","0"
"798","Ⅷ","泌尿生殖","１","糸球体病変","Ｅ","無症候性血尿・タンパク尿症候群","②","無症候性タンパク尿","","","3","1","1","0","0","","","","","0"
"799","Ⅷ","泌尿生殖","１","糸球体病変","Ｆ","遺伝性腎炎","①","Alport症候群","","","0","1","4","1","0","","","","","0"
"800","Ⅷ","泌尿生殖","１","糸球体病変","Ｆ","遺伝性腎炎","②","基底膜菲薄化症候群<良性家族性血尿>","","","0","2","2","2","0","","","","","0"
"801","Ⅷ","泌尿生殖","１","糸球体病変","Ｆ","遺伝性腎炎","③","Fabry病","","","0","1","5","0","0","","","","","0"
"802","Ⅷ","泌尿生殖","２","血 管・質病変","Ａ","腎血管疾患","①","高血圧性腎硬化症","","","4","0","1","0","0","","","","","0"
"803","Ⅷ","泌尿生殖","２","血 管・質病変","Ａ","腎血管疾患","②","腎血管性高血圧症","553","","4","1","0","0","7","1","5","1","","1"
"804","Ⅷ","泌尿生殖","２","血 管・質病変","Ａ","腎血管疾患","③","悪性腎硬化症、悪性高血圧症","","","3","2","0","0","2","","","1","1","0"
"805","Ⅷ","泌尿生殖","２","血 管・質病変","Ａ","腎血管疾患","④","腎梗塞","","","2","2","1","0","2","1","","1","","0"
"806","Ⅷ","泌尿生殖","２","血 管・質病変","Ａ","腎血管疾患","⑤","腎静脈血栓症","","","0","0","5","0","0","","","","","0"
"807","Ⅷ","泌尿生殖","２","血 管・質病変","Ａ","腎血管疾患","⑥","腎皮質壊死","","","0","1","2","3","0","","","","","0"
"808","Ⅷ","泌尿生殖","２","血 管・質病変","Ａ","腎血管疾患","⑦","コレステロール塞栓症","","","0","0","6","0","4","1","1","1","1","0"
"809","Ⅷ","泌尿生殖","２","血 管・質病変","Ｂ","尿細管間質疾患","①","急性尿細管壊死","827","","3","2","1","0","1","","","1","","0"
"810","Ⅷ","泌尿生殖","２","血 管・質病変","Ｂ","尿細管間質疾患","②","骨髄腫腎","","","0","3","3","0","1","","","1","","0"
"811","Ⅷ","泌尿生殖","２","血 管・質病変","Ｂ","尿細管間質疾患","③","尿酸腎症<痛風腎>","","","0","4","2","0","0","","","","","0"
"812","Ⅷ","泌尿生殖","２","血 管・質病変","Ｂ","尿細管間質疾患","④","急性間質性腎炎","","薬剤性","1","2","2","0","3","","1","2","","6"
"813","Ⅷ","泌尿生殖","２","血 管・質病変","Ｂ","尿細管間質疾患","⑤","慢性間質性腎炎","","","0","2","3","0","0","","","","","0"
"814","Ⅷ","泌尿生殖","２","血 管・質病変","Ｂ","尿細管間質疾患","⑥","Sjögren症候群","1357","","1","3","1","0","8","","2","4","2","32"
"815","Ⅷ","泌尿生殖","２","血 管・質病変","Ｂ","尿細管間質疾患","⑦","中毒性腎障害","","","0","3","3","0","0","","","","","0"
"816","Ⅷ","泌尿生殖","２","血 管・質病変","Ｃ","尿細管機能異常","①","腎性尿崩症","","","0","4","2","0","2","","","2","","0"
"817","Ⅷ","泌尿生殖","２","血 管・質病変","Ｃ","尿細管機能異常","②","Fanconi症候群","","","0","2","4","0","5","","","3","2","0"
"818","Ⅷ","泌尿生殖","２","血 管・質病変","Ｃ","尿細管機能異常","③","尿細管性アシドーシス","","","2","4","0","0","2","","","2","","0"
"819","Ⅷ","泌尿生殖","２","血 管・質病変","Ｃ","尿細管機能異常","④","シスチン尿症","","","0","2","2","2","0","","","","","0"
"820","Ⅷ","泌尿生殖","２","血 管・質病変","Ｃ","尿細管機能異常","⑤","家族性低リン血症性くる病","","","0","2","1","3","0","","","","","1"
"821","Ⅷ","泌尿生殖","２","血 管・質病変","Ｃ","尿細管機能異常","⑥","Bartter症候群","","","0","3","2","0","3","","1","2","","0"
"822","Ⅷ","泌尿生殖","２","血 管・質病変","Ｃ","尿細管機能異常","⑦","Gitelman症候群","","","0","2","1","2","3","1","2","","","0"
"823","Ⅷ","泌尿生殖","２","血 管・質病変","Ｃ","尿細管機能異常","⑧","Liddle症候群","","","0","2","2","1","0","","","","","0"
"824","Ⅷ","泌尿生殖","２","血 管・質病変","Ｃ","尿細管機能異常","⑨","特発性尿細管性タンパク尿
<Dent病>","","","0","0","4","1","0","","","","","0"
"825","Ⅷ","泌尿生殖","２","血 管・ 尿細 管・間質病変","Ｃ","尿細管機能異常","⑩","家族性低尿酸血症","","","0","0","1","5","0","","","","","0"
"826","Ⅷ","泌尿生殖","３","腎機能の障害による異常","Ａ","急性腎障害<AKI>","①","急性腎不全（腎前性・腎性・腎後性）","","","3","0","2","0","33","8","6","9","10","3"
"827","Ⅷ","泌尿生殖","３","腎機能の障害による異常","Ａ","急性腎障害<AKI>","②","急性尿細管壊死","809","","2","2","1","0","1","","","1","","0"
"828","Ⅷ","泌尿生殖","３","腎機能の障害による異常","Ａ","急性腎障害<AKI>","③","横紋筋融解症","","","4","0","1","0","9","2","3","3","1","0"
"829","Ⅷ","泌尿生殖","３","腎機能の障害による異常","Ａ","急性腎障害<AKI>","④","溶血性尿毒症症候群<HUS>","758","","4","1","1","0","9","3","3","1","2","0"
"830","Ⅷ","泌尿生殖","３","腎機能の障害による異常","Ｂ","慢性腎臓病<CKD>","中","慢性腎臓病<CKD>","","心腎連関","5","0","0","0","12","1","","6","5","397"
"831","Ⅷ","泌尿生殖","３","腎機能の障害による異常","Ｃ","慢性腎不全","①","腎性貧血","723","","4","0","1","0","2","","2","","","0"
"832","Ⅷ","泌尿生殖","３","腎機能の障害による異常","Ｃ","慢性腎不全","②","ミネラル骨代謝異常<CKD-MBD>","","腎性骨異栄養症<ROD>","0","3","2","0","0","","","","","0"
"833","Ⅷ","泌尿生殖","３","腎機能の障害による異常","Ｄ","長期透析患者の合併症","①","透析アミロイドーシス","","","0","3","1","1","0","","","","","0"
"834","Ⅷ","泌尿生殖","３","腎機能の障害による異常","Ｅ","水・電解質の異常","①","脱水と浮腫","","","4","0","1","0","42","5","12","18","7","11"
"835","Ⅷ","泌尿生殖","３","腎機能の障害による異常","Ｅ","水・電解質の異常","②","ナトリウム代謝異常","","","3","1","1","0","15","5","4","5","1","2"
"836","Ⅷ","泌尿生殖","３","腎機能の障害による異常","Ｅ","水・電解質の異常","③","カリウム代謝異常","","","4","0","1","0","26","6","6","10","4","6"
"837","Ⅷ","泌尿生殖","３","腎機能の障害による異常","Ｅ","水・電解質の異常","④","カルシウム代謝異常","","","3","1","1","0","23","1","5","14","3","0"
"838","Ⅷ","泌尿生殖","３","腎機能の障害による異常","Ｅ","水・電解質の異常","⑤","リン代謝異常","","","0","4","2","0","4","","","3","1","0"
"839","Ⅷ","泌尿生殖","３","腎機能の障害による異常","Ｅ","水・電解質の異常","⑥","マグネシウム代謝異常","","","0","3","3","0","0","","","","","0"
"840","Ⅷ","泌尿生殖","３","腎機能の障害による異常","Ｆ","酸塩基平衡の異常","①","アシドーシス","","","4","0","1","0","10","5","2","3","","4"
"841","Ⅷ","泌尿生殖","３","腎機能の障害による異常","Ｆ","酸塩基平衡の異常","②","アルカローシス","","","4","0","1","0","1","","","1","","0"
"842","Ⅷ","泌尿生殖","４","腎・尿路結石と尿路閉塞性疾患","Ａ","結石症","①","腎結石、尿管結石","","サンゴ状結石、エックス線陰性結石","5","0","0","0","12","2","3","5","2","腎結石22、尿管結石39"
"843","Ⅷ","泌尿生殖","４","腎・尿路結石と尿路閉塞性疾患","Ａ","結石症","②","膀胱結石、尿道結石","","","6","0","0","0","3","","1","1","1","膀胱結石4、尿道結石0"
"844","Ⅷ","泌尿生殖","４","腎・尿路結石と尿路閉塞性疾患","Ｂ","尿路閉塞性疾患","①","上部尿路閉塞性疾患","","水腎症","5","0","1","0","12","1","4","4","3","10"
"845","Ⅷ","泌尿生殖","４","腎・尿路結石と尿路閉塞性疾患","Ｂ","尿路閉塞性疾患","②","下部尿路閉塞性疾患","","","4","1","1","0","0","","","","","0"
"846","Ⅷ","泌尿生殖","４","腎・尿路結石と尿路閉塞性疾患","Ｃ","その他の異常","①","神経因性膀胱","","","3","1","1","0","4","3","","1","","78"
"847","Ⅷ","泌尿生殖","４","腎・尿路結石と尿路閉塞性疾患","Ｃ","その他の異常","②","膀胱尿管逆流症","","","2","2","1","0","4","2","1","","1","1"
"848","Ⅷ","泌尿生殖","５","腎・尿路・生殖器の炎症","Ａ","腎・尿路の炎症","①","急性腎盂腎炎","","","6","0","0","0","14","1","5","5","3","0"
"849","Ⅷ","泌尿生殖","５","腎・尿路・生殖器の炎症","Ａ","腎・尿路の炎症","②","慢性腎盂腎炎","","","2","1","1","2","3","","","","3","0"
"850","Ⅷ","泌尿生殖","５","腎・尿路・生殖器の炎症","Ａ","腎・尿路の炎症","③","腎膿瘍","","","1","4","1","0","0","","","","","0"
"851","Ⅷ","泌尿生殖","５","腎・尿路・生殖器の炎症","Ａ","腎・尿路の炎症","④","腎乳頭壊死","","","1","1","3","1","0","","","","","0"
"852","Ⅷ","泌尿生殖","５","腎・尿路・生殖器の炎症","Ａ","腎・尿路の炎症","⑤","膀胱炎","","間質性膀胱炎","6","0","0","0","0","","","","","54"
"853","Ⅷ","泌尿生殖","５","腎・尿路・生殖器の炎症","Ａ","腎・尿路の炎症","⑥","尿道炎","","","4","0","1","0","6","3","2","1","","6"
"854","Ⅷ","泌尿生殖","５","腎・尿路・生殖器の炎症","Ｂ","男性生殖器の炎症","①","前立腺炎","","","4","0","1","0","8","5","2","","1","16"
"855","Ⅷ","泌尿生殖","５","腎・尿路・生殖器の炎症","Ｂ","男性生殖器の炎症","②","精巣上体炎","","","1","3","2","0","0","","","","","2"
"856","Ⅷ","泌尿生殖","５","腎・尿路・生殖器の炎症","Ｂ","男性生殖器の炎症","③","精巣炎","","","0","4","2","0","2","2","","","","2"
"857","Ⅷ","泌尿生殖","５","腎・尿路・生殖器の炎症","Ｂ","男性生殖器の炎症","④","亀頭包皮炎","","","0","3","3","0","0","","","","","3"
"858","Ⅷ","泌尿生殖","５","腎・尿路・生殖器の炎症","Ｃ","女性生殖器の炎症","①","外陰炎","","","1","3","2","0","2","","2","","","1"
"859","Ⅷ","泌尿生殖","５","腎・尿路・生殖器の炎症","Ｃ","女性生殖器の炎症","②","Bartholin腺囊腫、Bartholin腺炎","","Bartholin腺膿瘍","0","3","2","0","0","","","","","0"
"860","Ⅷ","泌尿生殖","５","腎・尿路・生殖器の炎症","Ｃ","女性生殖器の炎症","③","腟炎","","細菌性腟症、外陰腟カンジダ症、トリコモナス腟炎","3","2","1","0","5","","2","2","1","45"
"861","Ⅷ","泌尿生殖","５","腎・尿路・生殖器の炎症","Ｃ","女性生殖器の炎症","④","骨盤内炎症性疾患<PID>","","","4","2","0","0","6","3","","1","2","1"
"862","Ⅷ","泌尿生殖","５","腎・尿路・生殖器の炎症","Ｃ","女性生殖器の炎症","⑤","子宮頸管炎","","","1","3","1","0","1","","","1","","0"
"863","Ⅷ","泌尿生殖","５","腎・尿路・生殖器の炎症","Ｃ","女性生殖器の炎症","⑥","子宮内膜炎・筋層炎","","","2","4","0","0","1","","","1","","0"
"864","Ⅷ","泌尿生殖","５","腎・尿路・生殖器の炎症","Ｃ","女性生殖器の炎症","⑦","卵管留膿症・腫","","","0","3","2","0","0","","","","","0"
"865","Ⅷ","泌尿生殖","５","腎・尿路・生殖器の炎症","Ｃ","女性生殖器の炎症","⑧","子宮留膿症・腫","","","0","4","2","0","0","","","","","0"
"865.5","Ⅷ","泌尿生殖","５","腎・尿路・生殖器の炎","Ｄ","性感染症","KW","性感染症","","","0","0","0","0","12","4","2","5","1","0"
"866","Ⅷ","泌尿生殖","５","腎・尿路・生殖器の炎症","Ｄ","性感染症","①","淋菌性尿道炎","","","3","1","1","0","0","","","","","0"
"867","Ⅷ","泌尿生殖","５","腎・尿路・生殖器の炎症","Ｄ","性感染症","②","非淋菌性尿道炎","","クラミジア性尿道炎","3","1","1","0","4","1","","2","1","10"
"868","Ⅷ","泌尿生殖","５","腎・尿路・生殖器の炎症","Ｄ","性感染症","③","性器ヘルペス","","","4","2","0","0","2","","2","","","0"
"869","Ⅷ","泌尿生殖","５","腎・尿路・生殖器の炎症","Ｄ","性感染症","④","尖圭コンジローマ","","","1","4","1","0","4","1","1","1","1","0"
"870","Ⅷ","泌尿生殖","６","腎・尿路・男性生殖器の腫瘍","Ａ","腎・上部尿路腫瘍","①","腎細胞癌","","","4","1","0","0","9","1","","5","3","26"
"871","Ⅷ","泌尿生殖","６","腎・尿路・男性生殖器の腫瘍","Ａ","腎・上部尿路腫瘍","②","Wilms腫瘍","","","0","1","5","0","0","","","","","0"
"872","Ⅷ","泌尿生殖","６","腎・尿路・男性生殖器の腫瘍","Ａ","腎・上部尿路腫瘍","③","腎盂・尿管癌","","","1","1","4","0","4","1","1","1","1","腎盂癌6・尿管癌0"
"873","Ⅷ","泌尿生殖","６","腎・尿路・男性生殖器の腫瘍","Ｂ","下部尿路腫瘍","①","膀胱癌","","上皮内癌","3","2","0","0","13","2","2","7","2","75"
