,第2層,第3層,第4層,H28対応項目,メモ
7886,患者情報の統合、分析と評価、診療計画,治療計画,全人的苦痛を説明できる。,F-02-16-na-02,
7887,患者情報の統合、分析と評価、診療計画,治療計画,緩和ケアにおいて頻度の高い身体的苦痛、心理社会的苦痛を列挙することができる。,F-02-16-na-03,
7888,患者情報の統合、分析と評価、診療計画,治療計画,疼痛のアセスメント、疼痛緩和の薬物療法、癌疼痛治療法を説明できる。,F-02-16-na-04,
7889,患者情報の統合、分析と評価、診療計画,治療計画,オピオイドの適応と課題を説明できる。,F-02-16-na-05,
7890,患者情報の統合、分析と評価、診療計画,治療計画,緩和ケアにおける患者・家族の心理を説明できる。,F-02-16-na-06,
7891,患者情報の統合、分析と評価、診療計画,治療計画,科学的根拠に基づいた治療法を述べることができる。,F-03-04-na-02,
7892,患者情報の統合、分析と評価、診療計画,治療計画,治療の立案・実施に可能な範囲で参加できる。,F-03-05-08-03,治療手技も
7893,患者情報の統合、分析と評価、診療計画,治療計画,外科的治療の適応を知る。,G-04-01-02-01,
7894,患者情報の統合、分析と評価、診療計画,治療計画,手術計画の立案に可能な範囲で参加する。,G-04-01-02-02,
7895,患者情報の統合、分析と評価、診療計画,治療計画,周術期管理に可能な範囲で参加する。,G-04-01-02-03,
7896,患者情報の統合、分析と評価、診療計画,治療計画,手術を含めた婦人科的治療に可能な範囲で参加する。,G-04-01-04-05,
7897,患者情報の統合、分析と評価、診療計画,治療計画,健康問題に対する包括的アプローチ（複数の健康問題の相互作用等）を体験する。,G-04-01-06-02,
7898,患者情報の統合、分析と評価、診療計画,治療計画,家族や地域といった視点をもち、心理・社会的背景により配慮した診療に可能な範囲で参加する。,G-04-01-06-03,
7899,患者情報の統合、分析と評価、診療計画,治療計画,在宅医療を体験する。,G-04-01-06-04,
7900,患者情報の統合、分析と評価、診療計画,治療計画,治療やマネジメントに関して意思決定するために、患者側と情報共有や摺り合わせをすることができる。,F-02-01-na-07,
7901,患者情報の統合、分析と評価、診療計画,治療計画,放射線治療の原理を説明し、主な放射線治療法を列挙できる。,F-02-05-na-03,
7902,患者情報の統合、分析と評価、診療計画,治療計画,放射線診断・治療による利益と不利益を説明できる。,F-02-05-na-04,
7903,患者情報の統合、分析と評価、診療計画,治療計画,インターベンショナルラジオロジー（画像誘導下治療）を概説できる。,F-02-05-na-05,
7904,患者情報の統合、分析と評価、診療計画,治療計画,内視鏡を用いる治療を概説できる。,F-02-06-na-03,内視鏡治療の適応を説明できるに修正を提案(近藤)
7905,患者情報の統合、分析と評価、診療計画,治療計画,超音波を用いる治療を概説できる。,F-02-07-na-04,
7906,患者情報の統合、分析と評価、診療計画,治療計画,薬物（オピオイドを含む）の蓄積、耐性、タキフィラキシー、依存、習慣性や嗜癖を説明できる。,F-02-08-na-01,
7907,患者情報の統合、分析と評価、診療計画,治療計画,主な薬物アレルギーの症候、診察、診断を列挙し、予防策と対処法を説明できる。,F-02-08-na-02,
7908,患者情報の統合、分析と評価、診療計画,治療計画,各臓器系統（中枢・末梢神経、循環器、呼吸器、消化器、腎泌尿器、血液、内分泌等）に作用する薬の薬理作用、適応、有害事象、投与時の注意事項を説明できる。,F-02-08-na-04,
7909,患者情報の統合、分析と評価、診療計画,治療計画,抗微生物薬の薬理作用、適応、有害事象、投与時の注意事項を説明できる。,F-02-08-na-05,
7910,患者情報の統合、分析と評価、診療計画,治療計画,抗腫瘍薬の適応、有害事象、投与時の注意事項を説明できる。,F-02-08-na-06,
7911,患者情報の統合、分析と評価、診療計画,治療計画,麻薬性鎮痛薬・鎮静薬の適応、有害事象、投与時の注意事項を説明できる。,F-02-08-na-07,
7912,患者情報の統合、分析と評価、診療計画,治療計画,主な薬物の有害事象を概説できる。,F-02-08-na-08,
7913,患者情報の統合、分析と評価、診療計画,治療計画,年齢や臓器障害に応じた薬物動態の特徴を考慮して薬剤投与の注意点を説明できる。,F-02-08-na-09,
7914,患者情報の統合、分析と評価、診療計画,治療計画,薬物動態的相互作用について例を挙げて説明できる。,F-02-08-na-10,
7915,患者情報の統合、分析と評価、診療計画,治療計画,処方箋の書き方、服薬の基本・アドヒアランスを説明できる。,F-02-08-na-11,
7916,患者情報の統合、分析と評価、診療計画,治療計画,分子標的薬の薬理作用と有害事象を説明できる。,F-02-08-na-12,
7917,患者情報の統合、分析と評価、診療計画,治療計画,漢方医学の特徴や、主な和漢薬（漢方薬）の適応、薬理作用を概説できる。,F-02-08-na-13,
7918,患者情報の統合、分析と評価、診療計画,治療計画,ポリファーマシー、使用禁忌、特定条件下での薬物使用（アンチ・ドーピング等）を説明できる。,F-02-08-na-14,
7919,患者情報の統合、分析と評価、診療計画,治療計画,清潔の概念と必要性を説明できる。,F-02-09-01-01,
7920,患者情報の統合、分析と評価、診療計画,治療計画,手洗いの意味と手技を説明できる。,F-02-09-01-02,
7921,患者情報の統合、分析と評価、診療計画,治療計画,ガウンテクニックの必要性と手技を説明できる。,F-02-09-01-03,
7922,患者情報の統合、分析と評価、診療計画,治療計画,消毒の意味と方法を説明でき、被覆材の種類と適応、効果を説明できる。,F-02-09-01-05,
7923,患者情報の統合、分析と評価、診療計画,治療計画,外科的治療の適応と合併症を説明できる。,F-02-09-01-06,
7924,患者情報の統合、分析と評価、診療計画,治療計画,手術の危険因子を列挙し、その対応の基本を説明できる。,F-02-09-02-01,
7925,患者情報の統合、分析と評価、診療計画,治療計画,主な術後合併症を列挙し、その予防の基本を説明できる。,F-02-09-02-03,
7926,患者情報の統合、分析と評価、診療計画,治療計画,手術に関するインフォームド・コンセントの注意点を列挙できる。,F-02-09-02-04,治療計画？
7927,患者情報の統合、分析と評価、診療計画,治療計画,周術期管理における事前のリスク評価を説明できる。,F-02-09-02-05,
7928,患者情報の統合、分析と評価、診療計画,治療計画,周術期における主な薬剤の服薬管理（継続、中止等）の必要性とそれに伴うリスクの基本を説明できる。,F-02-09-02-06,
7929,患者情報の統合、分析と評価、診療計画,治療計画,周術期管理における輸液・輸血の基本を説明できる。,F-02-09-02-07,
7930,患者情報の統合、分析と評価、診療計画,治療計画,術後痛の管理を説明できる。,F-02-09-02-08,
7931,患者情報の統合、分析と評価、診療計画,治療計画,術後回復室の役割を概説できる。,F-02-09-02-09,
7932,患者情報の統合、分析と評価、診療計画,治療計画,集中治療室の役割を概説できる。,F-02-09-02-10,
7933,患者情報の統合、分析と評価、診療計画,治療計画,麻酔の概念、種類と麻酔時の生体反応を説明できる。,F-02-10-na-01,
7934,患者情報の統合、分析と評価、診療計画,治療計画,麻酔管理を安全に行うための術前評価と呼吸管理を概説できる。,F-02-10-na-02,
7935,患者情報の統合、分析と評価、診療計画,治療計画,麻酔薬と筋弛緩薬の種類と使用上の原則を説明できる。,F-02-10-na-03,
7936,患者情報の統合、分析と評価、診療計画,治療計画,吸入麻酔と静脈麻酔の適応、禁忌、方法、事故と合併症を概説できる。,F-02-10-na-04,
7937,患者情報の統合、分析と評価、診療計画,治療計画,局所麻酔、末梢神経ブロック、神経叢ブロック、脊髄くも膜下麻酔、硬膜外麻酔の適応、禁忌と合併症を概説できる。,F-02-10-na-06,
7938,患者情報の統合、分析と評価、診療計画,治療計画,安全な麻酔のためのモニタリングの方法、重要な異常所見と対処法を概説できる。,F-02-10-na-07,
7939,患者情報の統合、分析と評価、診療計画,治療計画,悪性高熱症や神経筋疾患患者における麻酔管理上の注意点を概説できる。,F-02-10-na-08,
7940,患者情報の統合、分析と評価、診療計画,治療計画,食行動、食事摂取基準、食事バランス、日本食品標準成分表、補助食品、食物繊維・プロバイオティクス・プレバイオティクスを概説できる。,F-02-11-na-01,
7941,患者情報の統合、分析と評価、診療計画,治療計画,栄養アセスメント、栄養ケア・マネジメント、栄養サポートチーム(nutrition support team <NST>)、疾患別の栄養療法を説明できる。,F-02-11-na-02,
7942,患者情報の統合、分析と評価、診療計画,治療計画,各種補液製剤（ビタミン、微量元素を含む）の特徴と病態に合わせた適応、投与時の注意事項を説明できる。,F-02-11-na-03,
7943,患者情報の統合、分析と評価、診療計画,治療計画,経静脈栄養と経管・経腸栄養の適応、方法と合併症、長期投与時の注意事項を説明できる。,F-02-11-na-04,
7944,患者情報の統合、分析と評価、診療計画,治療計画,乳幼児と小児の輸液療法を説明できる。,F-02-11-na-05,
7945,患者情報の統合、分析と評価、診療計画,治療計画,主な医療機器の種類と原理を概説できる。,F-02-12-na-01,
7946,患者情報の統合、分析と評価、診療計画,治療計画,主な人工臓器の種類と原理を概説できる。,F-02-12-na-02,
7947,患者情報の統合、分析と評価、診療計画,治療計画,血液製剤及び血漿分画製剤の種類と適応を説明できる。,F-02-13-na-01,
7948,患者情報の統合、分析と評価、診療計画,治療計画,血液型(ABO、RhD)検査、血液交差適合（クロスマッチ）試験、不規則抗体検査を説明できる。,F-02-13-na-02,
7949,患者情報の統合、分析と評価、診療計画,治療計画,輸血副反応、輸血使用記録保管義務、不適合輸血の防止手順を説明できる。,F-02-13-na-03,
7950,患者情報の統合、分析と評価、診療計画,治療計画,輸血の適正使用、成分輸血、自己血輸血、緊急時の輸血を説明できる。,F-02-13-na-04,
7951,患者情報の統合、分析と評価、診療計画,治療計画,臓器移植、造血幹細胞移植の種類と適応を説明できる。,F-02-13-na-05,
7952,患者情報の統合、分析と評価、診療計画,治療計画,移植と組織適合性の関係を説明できる。,F-02-13-na-06,
7953,患者情報の統合、分析と評価、診療計画,治療計画,移植後の拒絶反応、移植片対宿主病の病態生理と発症時の対応を説明できる。,F-02-13-na-07,
7954,患者情報の統合、分析と評価、診療計画,治療計画,免疫抑制薬の種類、適応と副作用を説明できる。,F-02-13-na-08,
7955,患者情報の統合、分析と評価、診療計画,治療計画,リハビリテーションの概念と適応（心大血管疾患、呼吸器疾患、癌等の内部障害を含む）を説明できる。,F-02-14-na-01,
7956,患者情報の統合、分析と評価、診療計画,治療計画,福祉・介護との連携におけるリハビリテーションの役割を説明できる。,F-02-14-na-03,
7957,患者情報の統合、分析と評価、診療計画,治療計画,機能障害と日常生活動作(activities of daily living <ADL>)の評価ができる。,F-02-14-na-05,
7958,患者情報の統合、分析と評価、診療計画,治療計画,理学療法、作業療法と言語聴覚療法を概説できる。,F-02-14-na-06,
7959,患者情報の統合、分析と評価、診療計画,治療計画,主な歩行補助具、車椅子、義肢（義手、義足）と装具を概説できる。,F-02-14-na-07,
7960,患者情報の統合、分析と評価、診療計画,治療計画,在宅医療の在り方、今後の必要性と課題を概説できる。,F-02-15-na-01,
7961,患者情報の統合、分析と評価、診療計画,治療計画,在宅における人生の最終段階における医療、看取りの在り方と課題を概説できる。,F-02-15-na-04,
7962,患者情報の統合、分析と評価、診療計画,治療計画,介護の定義と種類を説明できる。,F-02-15-na-05,
7963,患者情報の統合、分析と評価、診療計画,治療計画,日常生活動作<ADL>（排泄、摂食、入浴等）に応じた介護と環境整備の要点を概説できる。,F-02-15-na-06,
7964,患者情報の統合、分析と評価、診療計画,治療計画,地域包括ケアシステムと介護保険制度、障害者総合支援法等の医療保健福祉制度を概説できる。,F-02-15-na-07,
7965,患者情報の統合、分析と評価、診療計画,治療計画,全人的苦痛を説明できる。,F-02-16-na-02,
7966,患者情報の統合、分析と評価、診療計画,治療計画,緩和ケアにおいて頻度の高い身体的苦痛、心理社会的苦痛を列挙することができる。,F-02-16-na-03,
7967,患者情報の統合、分析と評価、診療計画,治療計画,疼痛のアセスメント、疼痛緩和の薬物療法、癌疼痛治療法を説明できる。,F-02-16-na-04,
7968,患者情報の統合、分析と評価、診療計画,治療計画,オピオイドの適応と課題を説明できる。,F-02-16-na-05,
7969,患者情報の統合、分析と評価、診療計画,治療計画,緩和ケアにおける患者・家族の心理を説明できる。,F-02-16-na-06,
7970,患者情報の統合、分析と評価、診療計画,治療計画,科学的根拠に基づいた治療法を述べることができる。,F-03-04-na-02,
7971,患者情報の統合、分析と評価、診療計画,治療計画,治療の立案・実施に可能な範囲で参加できる。,F-03-05-08-03,治療手技も
7972,患者情報の統合、分析と評価、診療計画,治療計画,外科的治療の適応を知る。,G-04-01-02-01,
7973,患者情報の統合、分析と評価、診療計画,治療計画,手術計画の立案に可能な範囲で参加する。,G-04-01-02-02,
7974,患者情報の統合、分析と評価、診療計画,治療計画,周術期管理に可能な範囲で参加する。,G-04-01-02-03,
7975,患者情報の統合、分析と評価、診療計画,治療計画,手術を含めた婦人科的治療に可能な範囲で参加する。,G-04-01-04-05,
7976,患者情報の統合、分析と評価、診療計画,治療計画,健康問題に対する包括的アプローチ（複数の健康問題の相互作用等）を体験する。,G-04-01-06-02,
7977,患者情報の統合、分析と評価、診療計画,治療計画,家族や地域といった視点をもち、心理・社会的背景により配慮した診療に可能な範囲で参加する。,G-04-01-06-03,
7978,患者情報の統合、分析と評価、診療計画,治療計画,在宅医療を体験する。,G-04-01-06-04,
7979,患者情報の統合、分析と評価、診療計画,治療計画,治療やマネジメントに関して意思決定するために、患者側と情報共有や摺り合わせをすることができる。,F-02-01-na-07,
7980,患者情報の統合、分析と評価、診療計画,治療計画,放射線治療の原理を説明し、主な放射線治療法を列挙できる。,F-02-05-na-03,
7981,患者情報の統合、分析と評価、診療計画,治療計画,放射線診断・治療による利益と不利益を説明できる。,F-02-05-na-04,
7982,患者情報の統合、分析と評価、診療計画,治療計画,インターベンショナルラジオロジー（画像誘導下治療）を概説できる。,F-02-05-na-05,
7983,患者情報の統合、分析と評価、診療計画,治療計画,内視鏡を用いる治療を概説できる。,F-02-06-na-03,内視鏡治療の適応を説明できるに修正を提案(近藤)
7984,患者情報の統合、分析と評価、診療計画,治療計画,超音波を用いる治療を概説できる。,F-02-07-na-04,
7985,患者情報の統合、分析と評価、診療計画,治療計画,薬物（オピオイドを含む）の蓄積、耐性、タキフィラキシー、依存、習慣性や嗜癖を説明できる。,F-02-08-na-01,
7986,患者情報の統合、分析と評価、診療計画,治療計画,主な薬物アレルギーの症候、診察、診断を列挙し、予防策と対処法を説明できる。,F-02-08-na-02,
7987,患者情報の統合、分析と評価、診療計画,治療計画,各臓器系統（中枢・末梢神経、循環器、呼吸器、消化器、腎泌尿器、血液、内分泌等）に作用する薬の薬理作用、適応、有害事象、投与時の注意事項を説明できる。,F-02-08-na-04,
7988,患者情報の統合、分析と評価、診療計画,治療計画,抗微生物薬の薬理作用、適応、有害事象、投与時の注意事項を説明できる。,F-02-08-na-05,
7989,患者情報の統合、分析と評価、診療計画,治療計画,抗腫瘍薬の適応、有害事象、投与時の注意事項を説明できる。,F-02-08-na-06,
7990,患者情報の統合、分析と評価、診療計画,治療計画,麻薬性鎮痛薬・鎮静薬の適応、有害事象、投与時の注意事項を説明できる。,F-02-08-na-07,
7991,患者情報の統合、分析と評価、診療計画,治療計画,主な薬物の有害事象を概説できる。,F-02-08-na-08,
7992,患者情報の統合、分析と評価、診療計画,治療計画,年齢や臓器障害に応じた薬物動態の特徴を考慮して薬剤投与の注意点を説明できる。,F-02-08-na-09,
7993,患者情報の統合、分析と評価、診療計画,治療計画,薬物動態的相互作用について例を挙げて説明できる。,F-02-08-na-10,
7994,患者情報の統合、分析と評価、診療計画,治療計画,処方箋の書き方、服薬の基本・アドヒアランスを説明できる。,F-02-08-na-11,
7995,患者情報の統合、分析と評価、診療計画,治療計画,分子標的薬の薬理作用と有害事象を説明できる。,F-02-08-na-12,
7996,患者情報の統合、分析と評価、診療計画,治療計画,漢方医学の特徴や、主な和漢薬（漢方薬）の適応、薬理作用を概説できる。,F-02-08-na-13,
7997,患者情報の統合、分析と評価、診療計画,治療計画,ポリファーマシー、使用禁忌、特定条件下での薬物使用（アンチ・ドーピング等）を説明できる。,F-02-08-na-14,
7998,患者情報の統合、分析と評価、診療計画,治療計画,清潔の概念と必要性を説明できる。,F-02-09-01-01,
7999,患者情報の統合、分析と評価、診療計画,治療計画,手洗いの意味と手技を説明できる。,F-02-09-01-02,
8000,患者情報の統合、分析と評価、診療計画,治療計画,ガウンテクニックの必要性と手技を説明できる。,F-02-09-01-03,
8001,患者情報の統合、分析と評価、診療計画,治療計画,消毒の意味と方法を説明でき、被覆材の種類と適応、効果を説明できる。,F-02-09-01-05,
8002,患者情報の統合、分析と評価、診療計画,治療計画,外科的治療の適応と合併症を説明できる。,F-02-09-01-06,
8003,患者情報の統合、分析と評価、診療計画,治療計画,手術の危険因子を列挙し、その対応の基本を説明できる。,F-02-09-02-01,
8004,患者情報の統合、分析と評価、診療計画,治療計画,主な術後合併症を列挙し、その予防の基本を説明できる。,F-02-09-02-03,
8005,患者情報の統合、分析と評価、診療計画,治療計画,手術に関するインフォームド・コンセントの注意点を列挙できる。,F-02-09-02-04,治療計画？
8006,患者情報の統合、分析と評価、診療計画,治療計画,周術期管理における事前のリスク評価を説明できる。,F-02-09-02-05,
8007,患者情報の統合、分析と評価、診療計画,治療計画,周術期における主な薬剤の服薬管理（継続、中止等）の必要性とそれに伴うリスクの基本を説明できる。,F-02-09-02-06,
8008,患者情報の統合、分析と評価、診療計画,治療計画,周術期管理における輸液・輸血の基本を説明できる。,F-02-09-02-07,
8009,患者情報の統合、分析と評価、診療計画,治療計画,術後痛の管理を説明できる。,F-02-09-02-08,
8010,患者情報の統合、分析と評価、診療計画,治療計画,術後回復室の役割を概説できる。,F-02-09-02-09,
8011,患者情報の統合、分析と評価、診療計画,治療計画,集中治療室の役割を概説できる。,F-02-09-02-10,
8012,患者情報の統合、分析と評価、診療計画,治療計画,麻酔の概念、種類と麻酔時の生体反応を説明できる。,F-02-10-na-01,
8013,患者情報の統合、分析と評価、診療計画,治療計画,麻酔管理を安全に行うための術前評価と呼吸管理を概説できる。,F-02-10-na-02,
8014,患者情報の統合、分析と評価、診療計画,治療計画,麻酔薬と筋弛緩薬の種類と使用上の原則を説明できる。,F-02-10-na-03,
8015,患者情報の統合、分析と評価、診療計画,治療計画,吸入麻酔と静脈麻酔の適応、禁忌、方法、事故と合併症を概説できる。,F-02-10-na-04,
8016,患者情報の統合、分析と評価、診療計画,治療計画,局所麻酔、末梢神経ブロック、神経叢ブロック、脊髄くも膜下麻酔、硬膜外麻酔の適応、禁忌と合併症を概説できる。,F-02-10-na-06,
8017,患者情報の統合、分析と評価、診療計画,治療計画,安全な麻酔のためのモニタリングの方法、重要な異常所見と対処法を概説できる。,F-02-10-na-07,
8018,患者情報の統合、分析と評価、診療計画,治療計画,悪性高熱症や神経筋疾患患者における麻酔管理上の注意点を概説できる。,F-02-10-na-08,
8019,患者情報の統合、分析と評価、診療計画,治療計画,食行動、食事摂取基準、食事バランス、日本食品標準成分表、補助食品、食物繊維・プロバイオティクス・プレバイオティクスを概説できる。,F-02-11-na-01,
8020,患者情報の統合、分析と評価、診療計画,治療計画,栄養アセスメント、栄養ケア・マネジメント、栄養サポートチーム(nutrition support team <NST>)、疾患別の栄養療法を説明できる。,F-02-11-na-02,
8021,患者情報の統合、分析と評価、診療計画,治療計画,各種補液製剤（ビタミン、微量元素を含む）の特徴と病態に合わせた適応、投与時の注意事項を説明できる。,F-02-11-na-03,
8022,患者情報の統合、分析と評価、診療計画,治療計画,経静脈栄養と経管・経腸栄養の適応、方法と合併症、長期投与時の注意事項を説明できる。,F-02-11-na-04,
8023,患者情報の統合、分析と評価、診療計画,治療計画,乳幼児と小児の輸液療法を説明できる。,F-02-11-na-05,
8024,患者情報の統合、分析と評価、診療計画,治療計画,主な医療機器の種類と原理を概説できる。,F-02-12-na-01,
8025,患者情報の統合、分析と評価、診療計画,治療計画,主な人工臓器の種類と原理を概説できる。,F-02-12-na-02,
8026,患者情報の統合、分析と評価、診療計画,治療計画,血液製剤及び血漿分画製剤の種類と適応を説明できる。,F-02-13-na-01,
8027,患者情報の統合、分析と評価、診療計画,治療計画,血液型(ABO、RhD)検査、血液交差適合（クロスマッチ）試験、不規則抗体検査を説明できる。,F-02-13-na-02,
8028,患者情報の統合、分析と評価、診療計画,治療計画,輸血副反応、輸血使用記録保管義務、不適合輸血の防止手順を説明できる。,F-02-13-na-03,
8029,患者情報の統合、分析と評価、診療計画,治療計画,輸血の適正使用、成分輸血、自己血輸血、緊急時の輸血を説明できる。,F-02-13-na-04,
8030,患者情報の統合、分析と評価、診療計画,治療計画,臓器移植、造血幹細胞移植の種類と適応を説明できる。,F-02-13-na-05,
8031,患者情報の統合、分析と評価、診療計画,治療計画,移植と組織適合性の関係を説明できる。,F-02-13-na-06,
8032,患者情報の統合、分析と評価、診療計画,治療計画,移植後の拒絶反応、移植片対宿主病の病態生理と発症時の対応を説明できる。,F-02-13-na-07,
8033,患者情報の統合、分析と評価、診療計画,治療計画,免疫抑制薬の種類、適応と副作用を説明できる。,F-02-13-na-08,
8034,患者情報の統合、分析と評価、診療計画,治療計画,リハビリテーションの概念と適応（心大血管疾患、呼吸器疾患、癌等の内部障害を含む）を説明できる。,F-02-14-na-01,
8035,患者情報の統合、分析と評価、診療計画,治療計画,福祉・介護との連携におけるリハビリテーションの役割を説明できる。,F-02-14-na-03,
8036,患者情報の統合、分析と評価、診療計画,治療計画,機能障害と日常生活動作(activities of daily living <ADL>)の評価ができる。,F-02-14-na-05,
8037,患者情報の統合、分析と評価、診療計画,治療計画,理学療法、作業療法と言語聴覚療法を概説できる。,F-02-14-na-06,
8038,患者情報の統合、分析と評価、診療計画,治療計画,主な歩行補助具、車椅子、義肢（義手、義足）と装具を概説できる。,F-02-14-na-07,
8039,患者情報の統合、分析と評価、診療計画,治療計画,在宅医療の在り方、今後の必要性と課題を概説できる。,F-02-15-na-01,
8040,患者情報の統合、分析と評価、診療計画,治療計画,在宅における人生の最終段階における医療、看取りの在り方と課題を概説できる。,F-02-15-na-04,
8041,患者情報の統合、分析と評価、診療計画,治療計画,介護の定義と種類を説明できる。,F-02-15-na-05,
8042,患者情報の統合、分析と評価、診療計画,治療計画,日常生活動作<ADL>（排泄、摂食、入浴等）に応じた介護と環境整備の要点を概説できる。,F-02-15-na-06,
8043,患者情報の統合、分析と評価、診療計画,治療計画,地域包括ケアシステムと介護保険制度、障害者総合支援法等の医療保健福祉制度を概説できる。,F-02-15-na-07,
8044,患者情報の統合、分析と評価、診療計画,治療計画,全人的苦痛を説明できる。,F-02-16-na-02,
8045,患者情報の統合、分析と評価、診療計画,治療計画,緩和ケアにおいて頻度の高い身体的苦痛、心理社会的苦痛を列挙することができる。,F-02-16-na-03,
8046,患者情報の統合、分析と評価、診療計画,治療計画,疼痛のアセスメント、疼痛緩和の薬物療法、癌疼痛治療法を説明できる。,F-02-16-na-04,
8047,患者情報の統合、分析と評価、診療計画,治療計画,オピオイドの適応と課題を説明できる。,F-02-16-na-05,
8048,患者情報の統合、分析と評価、診療計画,治療計画,緩和ケアにおける患者・家族の心理を説明できる。,F-02-16-na-06,
8049,患者情報の統合、分析と評価、診療計画,治療計画,科学的根拠に基づいた治療法を述べることができる。,F-03-04-na-02,
8050,患者情報の統合、分析と評価、診療計画,治療計画,治療の立案・実施に可能な範囲で参加できる。,F-03-05-08-03,治療手技も
8051,患者情報の統合、分析と評価、診療計画,治療計画,外科的治療の適応を知る。,G-04-01-02-01,
8052,患者情報の統合、分析と評価、診療計画,治療計画,手術計画の立案に可能な範囲で参加する。,G-04-01-02-02,
8053,患者情報の統合、分析と評価、診療計画,治療計画,周術期管理に可能な範囲で参加する。,G-04-01-02-03,
8054,患者情報の統合、分析と評価、診療計画,治療計画,手術を含めた婦人科的治療に可能な範囲で参加する。,G-04-01-04-05,
8055,患者情報の統合、分析と評価、診療計画,治療計画,健康問題に対する包括的アプローチ（複数の健康問題の相互作用等）を体験する。,G-04-01-06-02,
8056,患者情報の統合、分析と評価、診療計画,治療計画,家族や地域といった視点をもち、心理・社会的背景により配慮した診療に可能な範囲で参加する。,G-04-01-06-03,
8057,患者情報の統合、分析と評価、診療計画,治療計画,在宅医療を体験する。,G-04-01-06-04,
8058,患者情報の統合、分析と評価、診療計画,治療計画,治療やマネジメントに関して意思決定するために、患者側と情報共有や摺り合わせをすることができる。,F-02-01-na-07,
8059,患者情報の統合、分析と評価、診療計画,治療計画,放射線治療の原理を説明し、主な放射線治療法を列挙できる。,F-02-05-na-03,
8060,患者情報の統合、分析と評価、診療計画,治療計画,放射線診断・治療による利益と不利益を説明できる。,F-02-05-na-04,
8061,患者情報の統合、分析と評価、診療計画,治療計画,インターベンショナルラジオロジー（画像誘導下治療）を概説できる。,F-02-05-na-05,
8062,患者情報の統合、分析と評価、診療計画,治療計画,内視鏡を用いる治療を概説できる。,F-02-06-na-03,内視鏡治療の適応を説明できるに修正を提案(近藤)
8063,患者情報の統合、分析と評価、診療計画,治療計画,超音波を用いる治療を概説できる。,F-02-07-na-04,
8064,患者情報の統合、分析と評価、診療計画,治療計画,薬物（オピオイドを含む）の蓄積、耐性、タキフィラキシー、依存、習慣性や嗜癖を説明できる。,F-02-08-na-01,
8065,患者情報の統合、分析と評価、診療計画,治療計画,主な薬物アレルギーの症候、診察、診断を列挙し、予防策と対処法を説明できる。,F-02-08-na-02,
8066,患者情報の統合、分析と評価、診療計画,治療計画,各臓器系統（中枢・末梢神経、循環器、呼吸器、消化器、腎泌尿器、血液、内分泌等）に作用する薬の薬理作用、適応、有害事象、投与時の注意事項を説明できる。,F-02-08-na-04,
8067,患者情報の統合、分析と評価、診療計画,治療計画,抗微生物薬の薬理作用、適応、有害事象、投与時の注意事項を説明できる。,F-02-08-na-05,
8068,患者情報の統合、分析と評価、診療計画,治療計画,抗腫瘍薬の適応、有害事象、投与時の注意事項を説明できる。,F-02-08-na-06,
8069,患者情報の統合、分析と評価、診療計画,治療計画,麻薬性鎮痛薬・鎮静薬の適応、有害事象、投与時の注意事項を説明できる。,F-02-08-na-07,
8070,患者情報の統合、分析と評価、診療計画,治療計画,主な薬物の有害事象を概説できる。,F-02-08-na-08,
8071,患者情報の統合、分析と評価、診療計画,治療計画,年齢や臓器障害に応じた薬物動態の特徴を考慮して薬剤投与の注意点を説明できる。,F-02-08-na-09,
8072,患者情報の統合、分析と評価、診療計画,治療計画,薬物動態的相互作用について例を挙げて説明できる。,F-02-08-na-10,
8073,患者情報の統合、分析と評価、診療計画,治療計画,処方箋の書き方、服薬の基本・アドヒアランスを説明できる。,F-02-08-na-11,
8074,患者情報の統合、分析と評価、診療計画,治療計画,分子標的薬の薬理作用と有害事象を説明できる。,F-02-08-na-12,
8075,患者情報の統合、分析と評価、診療計画,治療計画,漢方医学の特徴や、主な和漢薬（漢方薬）の適応、薬理作用を概説できる。,F-02-08-na-13,
8076,患者情報の統合、分析と評価、診療計画,治療計画,ポリファーマシー、使用禁忌、特定条件下での薬物使用（アンチ・ドーピング等）を説明できる。,F-02-08-na-14,
8077,患者情報の統合、分析と評価、診療計画,治療計画,清潔の概念と必要性を説明できる。,F-02-09-01-01,
8078,患者情報の統合、分析と評価、診療計画,治療計画,手洗いの意味と手技を説明できる。,F-02-09-01-02,
8079,患者情報の統合、分析と評価、診療計画,治療計画,ガウンテクニックの必要性と手技を説明できる。,F-02-09-01-03,
8080,患者情報の統合、分析と評価、診療計画,治療計画,消毒の意味と方法を説明でき、被覆材の種類と適応、効果を説明できる。,F-02-09-01-05,
8081,患者情報の統合、分析と評価、診療計画,治療計画,外科的治療の適応と合併症を説明できる。,F-02-09-01-06,
8082,患者情報の統合、分析と評価、診療計画,治療計画,手術の危険因子を列挙し、その対応の基本を説明できる。,F-02-09-02-01,
8083,患者情報の統合、分析と評価、診療計画,治療計画,主な術後合併症を列挙し、その予防の基本を説明できる。,F-02-09-02-03,
8084,患者情報の統合、分析と評価、診療計画,治療計画,手術に関するインフォームド・コンセントの注意点を列挙できる。,F-02-09-02-04,治療計画？
8085,患者情報の統合、分析と評価、診療計画,治療計画,周術期管理における事前のリスク評価を説明できる。,F-02-09-02-05,
