臓器,分類,カテゴリ,サブカテゴリ,疾患,重要,UID,H28対応項目,H28表記,医学教育課修正案(20220419),医学教育課からのコメント(20220419),修正案(20220318),作業用(20220417),疾患(20220417),作業予定(20220417),コメント(20220318),重要(20220318),重複(計算列),重複のため削除する項目に●(20220408),重要度分類(スリム化チーム作業用)(20220330),"座長・副座長返答(1.医学教育課の意見を反映,2.原案ママ,3.その他)(20220411)",座長・副座長コメント(20220411),医学教育課修正案(20220317),医学教育課からのコメント(20220317),診断,治療,教育,予防,作成時(20220316コメント),修正案(20220316),パフォーマンス
消化器系,疾患・病態,小腸・大腸疾患,腸管憩室症,大腸憩室炎,,Jlvnl38,"D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","急性虫垂炎の症候、診断と治療を説明できる。,腸閉塞とイレウスの病因、症候、診断と治療を説明できる。,炎症性腸疾患（潰瘍性大腸炎・Crohn病）の病態生理、症候、診断と治療を説明できる。,痔核と痔瘻の病態生理、症候と診断を説明できる。,機能性消化管障害（過敏性腸症候群）を概説できる。,腸管憩室症（大腸憩室炎と大腸憩室出血）を概説できる。,薬物性腸炎を概説できる。,消化管ポリポーシスを概説できる。,大腸の主な先天性疾患（鎖肛、Hirschsprung病）を概説できる。,腸重積症を概説できる。,便秘症、乳児下痢症を説明できる。,感染性腸炎を概説できる。,虚血性大腸炎を概説できる。,急性出血性直腸潰瘍を概説できる。,上腸間膜動脈閉塞症を概説できる。,消化管神経内分泌腫瘍(neuroendocrine tumor <NET>)を概説できる。,消化管間質腫瘍(gastrointestinal stromal tumor <GIST>)を概説できる。",,,,大腸憩室炎,大腸憩室炎,保留,腸管憩室症をサブカテゴリから疾患に移動し、大腸憩室炎と大腸憩室出血を削除（岡崎／小松）,,,,,,,,,,,,,,,
消化器系,疾患・病態,小腸・大腸疾患,腸管憩室症,大腸憩室出血,,Jlvnl4E,"D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","急性虫垂炎の症候、診断と治療を説明できる。,腸閉塞とイレウスの病因、症候、診断と治療を説明できる。,炎症性腸疾患（潰瘍性大腸炎・Crohn病）の病態生理、症候、診断と治療を説明できる。,痔核と痔瘻の病態生理、症候と診断を説明できる。,機能性消化管障害（過敏性腸症候群）を概説できる。,腸管憩室症（大腸憩室炎と大腸憩室出血）を概説できる。,薬物性腸炎を概説できる。,消化管ポリポーシスを概説できる。,大腸の主な先天性疾患（鎖肛、Hirschsprung病）を概説できる。,腸重積症を概説できる。,便秘症、乳児下痢症を説明できる。,感染性腸炎を概説できる。,虚血性大腸炎を概説できる。,急性出血性直腸潰瘍を概説できる。,上腸間膜動脈閉塞症を概説できる。,消化管神経内分泌腫瘍(neuroendocrine tumor <NET>)を概説できる。,消化管間質腫瘍(gastrointestinal stromal tumor <GIST>)を概説できる。",,,,大腸憩室出血,大腸憩室出血,保留,腸管憩室症をサブカテゴリから疾患に移動し、大腸憩室炎と大腸憩室出血を削除（岡崎／小松）,,,,,,,,,,,,,,,
消化器系,疾患・病態,小腸・大腸疾患,先天性疾患,鎖肛,,Jlvnl4U,"D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","急性虫垂炎の症候、診断と治療を説明できる。,腸閉塞とイレウスの病因、症候、診断と治療を説明できる。,炎症性腸疾患（潰瘍性大腸炎・Crohn病）の病態生理、症候、診断と治療を説明できる。,痔核と痔瘻の病態生理、症候と診断を説明できる。,機能性消化管障害（過敏性腸症候群）を概説できる。,腸管憩室症（大腸憩室炎と大腸憩室出血）を概説できる。,薬物性腸炎を概説できる。,消化管ポリポーシスを概説できる。,大腸の主な先天性疾患（鎖肛、Hirschsprung病）を概説できる。,腸重積症を概説できる。,便秘症、乳児下痢症を説明できる。,感染性腸炎を概説できる。,虚血性大腸炎を概説できる。,急性出血性直腸潰瘍を概説できる。,上腸間膜動脈閉塞症を概説できる。,消化管神経内分泌腫瘍(neuroendocrine tumor <NET>)を概説できる。,消化管間質腫瘍(gastrointestinal stromal tumor <GIST>)を概説できる。",,,,鎖肛,鎖肛,重複削除,,,重複あり,●,,,,,,,,,,,,
消化器系,疾患・病態,小腸・大腸疾患,先天性疾患,Hirschsprung 病,,Jlvnl4c,"D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","急性虫垂炎の症候、診断と治療を説明できる。,腸閉塞とイレウスの病因、症候、診断と治療を説明できる。,炎症性腸疾患（潰瘍性大腸炎・Crohn病）の病態生理、症候、診断と治療を説明できる。,痔核と痔瘻の病態生理、症候と診断を説明できる。,機能性消化管障害（過敏性腸症候群）を概説できる。,腸管憩室症（大腸憩室炎と大腸憩室出血）を概説できる。,薬物性腸炎を概説できる。,消化管ポリポーシスを概説できる。,大腸の主な先天性疾患（鎖肛、Hirschsprung病）を概説できる。,腸重積症を概説できる。,便秘症、乳児下痢症を説明できる。,感染性腸炎を概説できる。,虚血性大腸炎を概説できる。,急性出血性直腸潰瘍を概説できる。,上腸間膜動脈閉塞症を概説できる。,消化管神経内分泌腫瘍(neuroendocrine tumor <NET>)を概説できる。,消化管間質腫瘍(gastrointestinal stromal tumor <GIST>)を概説できる。",,,,Hirschsprung 病,Hirschsprung 病,,,,,,,,,,,,,,,,,
消化器系,疾患・病態,小腸・大腸疾患,なし,急性虫垂炎,●,Jlvnl3k,"D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","急性虫垂炎の症候、診断と治療を説明できる。,腸閉塞とイレウスの病因、症候、診断と治療を説明できる。,炎症性腸疾患（潰瘍性大腸炎・Crohn病）の病態生理、症候、診断と治療を説明できる。,痔核と痔瘻の病態生理、症候と診断を説明できる。,機能性消化管障害（過敏性腸症候群）を概説できる。,腸管憩室症（大腸憩室炎と大腸憩室出血）を概説できる。,薬物性腸炎を概説できる。,消化管ポリポーシスを概説できる。,大腸の主な先天性疾患（鎖肛、Hirschsprung病）を概説できる。,腸重積症を概説できる。,便秘症、乳児下痢症を説明できる。,感染性腸炎を概説できる。,虚血性大腸炎を概説できる。,急性出血性直腸潰瘍を概説できる。,上腸間膜動脈閉塞症を概説できる。,消化管神経内分泌腫瘍(neuroendocrine tumor <NET>)を概説できる。,消化管間質腫瘍(gastrointestinal stromal tumor <GIST>)を概説できる。",,,,急性虫垂炎,急性虫垂炎,重要,,●,,,,,,,,,,,,,,
消化器系,疾患・病態,小腸・大腸疾患,なし,腸閉塞,●,Jlvnl3o,"D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","急性虫垂炎の症候、診断と治療を説明できる。,腸閉塞とイレウスの病因、症候、診断と治療を説明できる。,炎症性腸疾患（潰瘍性大腸炎・Crohn病）の病態生理、症候、診断と治療を説明できる。,痔核と痔瘻の病態生理、症候と診断を説明できる。,機能性消化管障害（過敏性腸症候群）を概説できる。,腸管憩室症（大腸憩室炎と大腸憩室出血）を概説できる。,薬物性腸炎を概説できる。,消化管ポリポーシスを概説できる。,大腸の主な先天性疾患（鎖肛、Hirschsprung病）を概説できる。,腸重積症を概説できる。,便秘症、乳児下痢症を説明できる。,感染性腸炎を概説できる。,虚血性大腸炎を概説できる。,急性出血性直腸潰瘍を概説できる。,上腸間膜動脈閉塞症を概説できる。,消化管神経内分泌腫瘍(neuroendocrine tumor <NET>)を概説できる。,消化管間質腫瘍(gastrointestinal stromal tumor <GIST>)を概説できる。",,,,腸閉塞,腸閉塞,重要,,●,,,,,,,,,,,,,,
消化器系,疾患・病態,小腸・大腸疾患,なし,痔核・痔瘻,●,Jlvnl30,"D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","急性虫垂炎の症候、診断と治療を説明できる。,腸閉塞とイレウスの病因、症候、診断と治療を説明できる。,炎症性腸疾患（潰瘍性大腸炎・Crohn病）の病態生理、症候、診断と治療を説明できる。,痔核と痔瘻の病態生理、症候と診断を説明できる。,機能性消化管障害（過敏性腸症候群）を概説できる。,腸管憩室症（大腸憩室炎と大腸憩室出血）を概説できる。,薬物性腸炎を概説できる。,消化管ポリポーシスを概説できる。,大腸の主な先天性疾患（鎖肛、Hirschsprung病）を概説できる。,腸重積症を概説できる。,便秘症、乳児下痢症を説明できる。,感染性腸炎を概説できる。,虚血性大腸炎を概説できる。,急性出血性直腸潰瘍を概説できる。,上腸間膜動脈閉塞症を概説できる。,消化管神経内分泌腫瘍(neuroendocrine tumor <NET>)を概説できる。,消化管間質腫瘍(gastrointestinal stromal tumor <GIST>)を概説できる。",,,,痔核・痔瘻,痔核・痔瘻,重要,,●,,,,,,,,,,,,,,
消化器系,疾患・病態,小腸・大腸疾患,なし,機能性消化管障害（過敏性腸症候群）,●,Jlvnl34,"D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","急性虫垂炎の症候、診断と治療を説明できる。,腸閉塞とイレウスの病因、症候、診断と治療を説明できる。,炎症性腸疾患（潰瘍性大腸炎・Crohn病）の病態生理、症候、診断と治療を説明できる。,痔核と痔瘻の病態生理、症候と診断を説明できる。,機能性消化管障害（過敏性腸症候群）を概説できる。,腸管憩室症（大腸憩室炎と大腸憩室出血）を概説できる。,薬物性腸炎を概説できる。,消化管ポリポーシスを概説できる。,大腸の主な先天性疾患（鎖肛、Hirschsprung病）を概説できる。,腸重積症を概説できる。,便秘症、乳児下痢症を説明できる。,感染性腸炎を概説できる。,虚血性大腸炎を概説できる。,急性出血性直腸潰瘍を概説できる。,上腸間膜動脈閉塞症を概説できる。,消化管神経内分泌腫瘍(neuroendocrine tumor <NET>)を概説できる。,消化管間質腫瘍(gastrointestinal stromal tumor <GIST>)を概説できる。",,,,機能性消化管障害（過敏性腸症候群）,機能性消化管障害（過敏性腸症候群）,重要,,●,,,,,,,,,,,,,,
消化器系,疾患・病態,小腸・大腸疾患,なし,薬物性腸炎,,Jlvnl4I,"D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","急性虫垂炎の症候、診断と治療を説明できる。,腸閉塞とイレウスの病因、症候、診断と治療を説明できる。,炎症性腸疾患（潰瘍性大腸炎・Crohn病）の病態生理、症候、診断と治療を説明できる。,痔核と痔瘻の病態生理、症候と診断を説明できる。,機能性消化管障害（過敏性腸症候群）を概説できる。,腸管憩室症（大腸憩室炎と大腸憩室出血）を概説できる。,薬物性腸炎を概説できる。,消化管ポリポーシスを概説できる。,大腸の主な先天性疾患（鎖肛、Hirschsprung病）を概説できる。,腸重積症を概説できる。,便秘症、乳児下痢症を説明できる。,感染性腸炎を概説できる。,虚血性大腸炎を概説できる。,急性出血性直腸潰瘍を概説できる。,上腸間膜動脈閉塞症を概説できる。,消化管神経内分泌腫瘍(neuroendocrine tumor <NET>)を概説できる。,消化管間質腫瘍(gastrointestinal stromal tumor <GIST>)を概説できる。",,,,薬物性腸炎,薬物性腸炎,,,,,,,,,,,,,,,,,
消化器系,疾患・病態,小腸・大腸疾患,なし,消化管ポリポーシス,,Jlvnl4Q,"D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","急性虫垂炎の症候、診断と治療を説明できる。,腸閉塞とイレウスの病因、症候、診断と治療を説明できる。,炎症性腸疾患（潰瘍性大腸炎・Crohn病）の病態生理、症候、診断と治療を説明できる。,痔核と痔瘻の病態生理、症候と診断を説明できる。,機能性消化管障害（過敏性腸症候群）を概説できる。,腸管憩室症（大腸憩室炎と大腸憩室出血）を概説できる。,薬物性腸炎を概説できる。,消化管ポリポーシスを概説できる。,大腸の主な先天性疾患（鎖肛、Hirschsprung病）を概説できる。,腸重積症を概説できる。,便秘症、乳児下痢症を説明できる。,感染性腸炎を概説できる。,虚血性大腸炎を概説できる。,急性出血性直腸潰瘍を概説できる。,上腸間膜動脈閉塞症を概説できる。,消化管神経内分泌腫瘍(neuroendocrine tumor <NET>)を概説できる。,消化管間質腫瘍(gastrointestinal stromal tumor <GIST>)を概説できる。",,,,消化管ポリポーシス,消化管ポリポーシス,,,,,,,,,,,,,,,,,
消化器系,疾患・病態,小腸・大腸疾患,なし,腸重積症,,Jlvnl4g,"D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","急性虫垂炎の症候、診断と治療を説明できる。,腸閉塞とイレウスの病因、症候、診断と治療を説明できる。,炎症性腸疾患（潰瘍性大腸炎・Crohn病）の病態生理、症候、診断と治療を説明できる。,痔核と痔瘻の病態生理、症候と診断を説明できる。,機能性消化管障害（過敏性腸症候群）を概説できる。,腸管憩室症（大腸憩室炎と大腸憩室出血）を概説できる。,薬物性腸炎を概説できる。,消化管ポリポーシスを概説できる。,大腸の主な先天性疾患（鎖肛、Hirschsprung病）を概説できる。,腸重積症を概説できる。,便秘症、乳児下痢症を説明できる。,感染性腸炎を概説できる。,虚血性大腸炎を概説できる。,急性出血性直腸潰瘍を概説できる。,上腸間膜動脈閉塞症を概説できる。,消化管神経内分泌腫瘍(neuroendocrine tumor <NET>)を概説できる。,消化管間質腫瘍(gastrointestinal stromal tumor <GIST>)を概説できる。",,,,腸重積症,腸重積症,重複削除,,●,重複あり,●,,,,,,,,,,,,
消化器系,疾患・病態,小腸・大腸疾患,なし,便秘症,●,Jlvnl4o,"D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","急性虫垂炎の症候、診断と治療を説明できる。,腸閉塞とイレウスの病因、症候、診断と治療を説明できる。,炎症性腸疾患（潰瘍性大腸炎・Crohn病）の病態生理、症候、診断と治療を説明できる。,痔核と痔瘻の病態生理、症候と診断を説明できる。,機能性消化管障害（過敏性腸症候群）を概説できる。,腸管憩室症（大腸憩室炎と大腸憩室出血）を概説できる。,薬物性腸炎を概説できる。,消化管ポリポーシスを概説できる。,大腸の主な先天性疾患（鎖肛、Hirschsprung病）を概説できる。,腸重積症を概説できる。,便秘症、乳児下痢症を説明できる。,感染性腸炎を概説できる。,虚血性大腸炎を概説できる。,急性出血性直腸潰瘍を概説できる。,上腸間膜動脈閉塞症を概説できる。,消化管神経内分泌腫瘍(neuroendocrine tumor <NET>)を概説できる。,消化管間質腫瘍(gastrointestinal stromal tumor <GIST>)を概説できる。",,,,便秘症,便秘症,重要,,●,重複あり,,,,,,,,,,,,,
消化器系,疾患・病態,小腸・大腸疾患,なし,感染性腸炎,,Jlvnl4s,"D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","急性虫垂炎の症候、診断と治療を説明できる。,腸閉塞とイレウスの病因、症候、診断と治療を説明できる。,炎症性腸疾患（潰瘍性大腸炎・Crohn病）の病態生理、症候、診断と治療を説明できる。,痔核と痔瘻の病態生理、症候と診断を説明できる。,機能性消化管障害（過敏性腸症候群）を概説できる。,腸管憩室症（大腸憩室炎と大腸憩室出血）を概説できる。,薬物性腸炎を概説できる。,消化管ポリポーシスを概説できる。,大腸の主な先天性疾患（鎖肛、Hirschsprung病）を概説できる。,腸重積症を概説できる。,便秘症、乳児下痢症を説明できる。,感染性腸炎を概説できる。,虚血性大腸炎を概説できる。,急性出血性直腸潰瘍を概説できる。,上腸間膜動脈閉塞症を概説できる。,消化管神経内分泌腫瘍(neuroendocrine tumor <NET>)を概説できる。,消化管間質腫瘍(gastrointestinal stromal tumor <GIST>)を概説できる。",,,,感染性腸炎,感染性腸炎,,,,,,,,,,,,,,,,,
消化器系,疾患・病態,小腸・大腸疾患,なし,乳児下痢症,,Jlvnl40,"D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","急性虫垂炎の症候、診断と治療を説明できる。,腸閉塞とイレウスの病因、症候、診断と治療を説明できる。,炎症性腸疾患（潰瘍性大腸炎・Crohn病）の病態生理、症候、診断と治療を説明できる。,痔核と痔瘻の病態生理、症候と診断を説明できる。,機能性消化管障害（過敏性腸症候群）を概説できる。,腸管憩室症（大腸憩室炎と大腸憩室出血）を概説できる。,薬物性腸炎を概説できる。,消化管ポリポーシスを概説できる。,大腸の主な先天性疾患（鎖肛、Hirschsprung病）を概説できる。,腸重積症を概説できる。,便秘症、乳児下痢症を説明できる。,感染性腸炎を概説できる。,虚血性大腸炎を概説できる。,急性出血性直腸潰瘍を概説できる。,上腸間膜動脈閉塞症を概説できる。,消化管神経内分泌腫瘍(neuroendocrine tumor <NET>)を概説できる。,消化管間質腫瘍(gastrointestinal stromal tumor <GIST>)を概説できる。",,,,乳児下痢症,乳児下痢症,重複削除,,●,重複あり,●,,,,,,,,,,,,
消化器系,疾患・病態,小腸・大腸疾患,なし,虚血性大腸炎,,Jlvnl48,"D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","急性虫垂炎の症候、診断と治療を説明できる。,腸閉塞とイレウスの病因、症候、診断と治療を説明できる。,炎症性腸疾患（潰瘍性大腸炎・Crohn病）の病態生理、症候、診断と治療を説明できる。,痔核と痔瘻の病態生理、症候と診断を説明できる。,機能性消化管障害（過敏性腸症候群）を概説できる。,腸管憩室症（大腸憩室炎と大腸憩室出血）を概説できる。,薬物性腸炎を概説できる。,消化管ポリポーシスを概説できる。,大腸の主な先天性疾患（鎖肛、Hirschsprung病）を概説できる。,腸重積症を概説できる。,便秘症、乳児下痢症を説明できる。,感染性腸炎を概説できる。,虚血性大腸炎を概説できる。,急性出血性直腸潰瘍を概説できる。,上腸間膜動脈閉塞症を概説できる。,消化管神経内分泌腫瘍(neuroendocrine tumor <NET>)を概説できる。,消化管間質腫瘍(gastrointestinal stromal tumor <GIST>)を概説できる。",,,,虚血性大腸炎,虚血性大腸炎,,,,,,,,,,,,,,,,,
消化器系,疾患・病態,小腸・大腸疾患,なし,急性出血性直腸潰瘍,,Jlvnl5A,"D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","急性虫垂炎の症候、診断と治療を説明できる。,腸閉塞とイレウスの病因、症候、診断と治療を説明できる。,炎症性腸疾患（潰瘍性大腸炎・Crohn病）の病態生理、症候、診断と治療を説明できる。,痔核と痔瘻の病態生理、症候と診断を説明できる。,機能性消化管障害（過敏性腸症候群）を概説できる。,腸管憩室症（大腸憩室炎と大腸憩室出血）を概説できる。,薬物性腸炎を概説できる。,消化管ポリポーシスを概説できる。,大腸の主な先天性疾患（鎖肛、Hirschsprung病）を概説できる。,腸重積症を概説できる。,便秘症、乳児下痢症を説明できる。,感染性腸炎を概説できる。,虚血性大腸炎を概説できる。,急性出血性直腸潰瘍を概説できる。,上腸間膜動脈閉塞症を概説できる。,消化管神経内分泌腫瘍(neuroendocrine tumor <NET>)を概説できる。,消化管間質腫瘍(gastrointestinal stromal tumor <GIST>)を概説できる。",,,,急性出血性直腸潰瘍,急性出血性直腸潰瘍,,,,,,,,,,,,,,,,,
消化器系,疾患・病態,小腸・大腸疾患,なし,上腸間膜動脈閉塞症,,Jlvnl5I,"D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","急性虫垂炎の症候、診断と治療を説明できる。,腸閉塞とイレウスの病因、症候、診断と治療を説明できる。,炎症性腸疾患（潰瘍性大腸炎・Crohn病）の病態生理、症候、診断と治療を説明できる。,痔核と痔瘻の病態生理、症候と診断を説明できる。,機能性消化管障害（過敏性腸症候群）を概説できる。,腸管憩室症（大腸憩室炎と大腸憩室出血）を概説できる。,薬物性腸炎を概説できる。,消化管ポリポーシスを概説できる。,大腸の主な先天性疾患（鎖肛、Hirschsprung病）を概説できる。,腸重積症を概説できる。,便秘症、乳児下痢症を説明できる。,感染性腸炎を概説できる。,虚血性大腸炎を概説できる。,急性出血性直腸潰瘍を概説できる。,上腸間膜動脈閉塞症を概説できる。,消化管神経内分泌腫瘍(neuroendocrine tumor <NET>)を概説できる。,消化管間質腫瘍(gastrointestinal stromal tumor <GIST>)を概説できる。",,,,上腸間膜動脈閉塞症,上腸間膜動脈閉塞症,,,,,,,,,,,,,,,,,
消化器系,疾患・病態,胆道疾患,なし,胆石症,●,Jlvnl5M,"D-07-04-04-01,D-07-04-04-02,D-07-04-04-03,D-07-04-04-04","胆石症の病因、症候、診断と治療を説明できる。,胆嚢炎と胆管炎の病因、病態生理、症候、診断、合併症と治療を説明できる。,胆嚢ポリープを概説できる。,先天性胆道拡張症と膵・胆管合流異常症を概説できる。",,,,胆石症,胆石症,重要,,●,,,,,,,,,,,,,,
消化器系,疾患・病態,胆道疾患,なし,胆嚢炎,●,Jlvnl5U,"D-07-04-04-01,D-07-04-04-02,D-07-04-04-03,D-07-04-04-04","胆石症の病因、症候、診断と治療を説明できる。,胆嚢炎と胆管炎の病因、病態生理、症候、診断、合併症と治療を説明できる。,胆嚢ポリープを概説できる。,先天性胆道拡張症と膵・胆管合流異常症を概説できる。",,,,胆嚢炎,胆嚢炎,重要,,●,,,,,,,,,,,,,,
消化器系,疾患・病態,胆道疾患,なし,胆管炎,●,Jlvnl5Y,"D-07-04-04-01,D-07-04-04-02,D-07-04-04-03,D-07-04-04-04","胆石症の病因、症候、診断と治療を説明できる。,胆嚢炎と胆管炎の病因、病態生理、症候、診断、合併症と治療を説明できる。,胆嚢ポリープを概説できる。,先天性胆道拡張症と膵・胆管合流異常症を概説できる。",,,,胆管炎,胆管炎,重要,,●,,,,,,,,,,,,,,
消化器系,疾患・病態,胆道疾患,なし,胆嚢ポリープ,,Jlvnl5g,"D-07-04-04-01,D-07-04-04-02,D-07-04-04-03,D-07-04-04-04","胆石症の病因、症候、診断と治療を説明できる。,胆嚢炎と胆管炎の病因、病態生理、症候、診断、合併症と治療を説明できる。,胆嚢ポリープを概説できる。,先天性胆道拡張症と膵・胆管合流異常症を概説できる。",,,,胆嚢ポリープ,胆嚢ポリープ,,,,,,,,,,,,,,,,,
消化器系,疾患・病態,胆道疾患,なし,先天性胆道拡張症,,Jlvnl5k,"D-07-04-04-01,D-07-04-04-02,D-07-04-04-03,D-07-04-04-04","胆石症の病因、症候、診断と治療を説明できる。,胆嚢炎と胆管炎の病因、病態生理、症候、診断、合併症と治療を説明できる。,胆嚢ポリープを概説できる。,先天性胆道拡張症と膵・胆管合流異常症を概説できる。",,,,先天性胆道拡張症,先天性胆道拡張症,,,,,,,,,,,,,,,,,
消化器系,疾患・病態,胆道疾患,なし,膵・胆管合流異常症,,Jlvnl5s,"D-07-04-04-01,D-07-04-04-02,D-07-04-04-03,D-07-04-04-04","胆石症の病因、症候、診断と治療を説明できる。,胆嚢炎と胆管炎の病因、病態生理、症候、診断、合併症と治療を説明できる。,胆嚢ポリープを概説できる。,先天性胆道拡張症と膵・胆管合流異常症を概説できる。",,,,膵・胆管合流異常症,膵・胆管合流異常症,,,,,,,,,,,,,,,,,
